"Zip","ReferralsAll","NoDispositions","ScreenOuts","Assessments","InvestigationsOutOfHome","InvestigationsInHome","InvestigationsWithAtLeast1ChildAge5OrYounger","InvestigationsConfirmed","ChildrenConfirmed","ChildrenRemoved"
73003,2650,0,1037,446,113,1054,505,218,374,165
73007,165,0,70,25,10,60,30,9,17,8
73008,3421,0,1314,516,117,1474,784,378,594,344
73012,820,0,406,132,45,237,99,52,76,31
73013,3080,0,1349,516,147,1068,526,230,394,228
73020,2351,0,918,344,98,991,484,279,477,201
73025,260,0,141,38,3,78,35,15,25,12
73034,2806,0,1224,452,76,1054,580,253,440,163
73036,4620,0,1791,624,143,2062,1276,660,1224,549
73045,1482,0,596,247,48,591,286,163,300,117
73049,814,0,333,125,38,318,150,95,172,64
73054,645,0,240,105,19,281,124,77,148,69
73064,2518,1,1146,362,131,878,439,227,394,140
73066,140,0,50,19,4,67,28,21,35,16
73071,6896,0,3422,1369,91,2014,1244,543,916,352
73072,2898,0,1442,625,36,795,494,185,340,136
73083,10,0,8,0,0,2,1,0,0,0
73084,1409,0,578,178,125,528,295,151,297,159
73097,7,0,4,2,0,1,1,0,0,0
73101,26,0,17,4,0,5,4,0,0,0
73102,299,0,155,23,18,103,74,51,70,40
73103,656,0,229,87,26,314,203,88,140,63
73104,499,0,191,61,26,221,145,62,115,58
73105,1134,0,416,143,63,512,321,162,287,173
73106,3600,0,1261,494,76,1769,1072,561,1028,570
73107,5486,0,2012,861,129,2484,1489,747,1338,640
73108,4747,0,1695,598,55,2399,1509,783,1460,736
73109,5005,0,1866,718,130,2291,1404,781,1339,748
73110,7241,1,2603,1134,297,3206,1850,932,1684,801
73111,3801,0,1488,447,216,1650,1015,517,962,524
73112,4839,0,1870,759,127,2083,1338,586,1004,496
73113,23,0,12,2,1,8,3,1,1,0
73114,4931,0,1934,662,232,2103,1201,621,1184,685
73115,4855,1,1648,746,207,2253,1250,566,1009,501
73116,586,0,214,97,20,255,154,68,97,47
73117,1689,0,636,204,92,757,453,196,372,215
73118,2533,0,1040,348,56,1089,658,307,533,307
73119,8760,1,3332,1346,198,3883,2383,1166,2062,1098
73120,3285,0,1274,520,183,1308,828,353,573,296
73121,490,0,181,65,27,217,119,60,109,70
73122,2517,0,922,421,80,1094,611,272,448,246
73123,18,0,9,2,1,6,2,0,0,0
73124,3,0,1,1,0,1,0,0,0,0
73125,4,0,1,1,0,2,1,2,3,2
73126,7,0,4,0,0,3,3,1,2,2
73127,7771,1,2731,1172,155,3712,2281,991,1833,991
73128,589,0,255,117,13,204,127,64,123,72
73129,7148,1,2381,1097,177,3492,2078,957,1831,974
73130,2854,0,1089,395,166,1204,644,328,598,324
73131,154,0,65,31,7,51,25,15,21,16
73132,4299,0,1623,660,159,1857,1070,494,845,519
73134,365,0,143,56,29,137,69,29,36,19
73135,4032,0,1561,636,179,1656,894,395,691,332
73136,18,0,8,0,0,10,5,5,5,3
73137,6,0,4,0,1,1,1,0,0,0
73139,3182,0,1356,534,90,1202,752,348,553,289
73140,40,0,18,4,5,13,5,2,5,0
73141,641,0,290,89,35,227,141,78,149,75
73142,774,0,297,146,41,290,148,73,119,41
73143,17,0,7,3,1,6,4,2,2,2
73144,10,0,4,0,0,6,2,1,1,0
73145,606,0,198,135,6,267,200,88,153,32
73146,25,0,19,2,0,4,2,0,0,0
73147,9,0,6,2,0,1,0,0,0,0
73148,9,0,3,0,0,6,3,2,2,1
73149,1503,0,517,217,35,734,406,186,318,170
73150,544,0,211,67,29,237,126,66,113,69
73151,25,0,13,3,0,9,4,2,3,2
73152,1,0,1,0,0,0,0,0,0,0
73153,11,0,7,0,0,4,1,2,3,1
73154,6,0,3,0,1,2,1,0,0,0
73155,5,0,3,0,1,1,0,1,1,0
73156,5,0,1,0,0,4,2,0,0,0
73157,53,0,29,8,0,16,13,8,12,1
73159,4937,0,2116,785,145,1891,1095,472,825,413
73160,9242,0,4723,1834,247,2438,1368,503,839,310
73162,1914,0,784,307,89,734,298,149,212,93
73164,2,0,0,1,0,1,1,0,0,0
73165,675,0,363,107,26,179,89,36,64,21
73167,2,0,0,1,0,1,0,0,0,0
73169,345,0,137,60,6,142,79,36,59,37
73170,2293,0,1271,420,63,539,260,113,151,61
73172,5,0,1,0,0,4,3,1,2,0
73173,79,0,43,19,1,16,7,3,7,5
73179,270,0,111,43,10,106,57,34,60,33
73189,14,0,9,2,0,3,0,1,2,3
73190,3,0,0,1,0,2,1,1,4,0
73194,1,0,1,0,0,0,0,0,0,0
73199,4,0,3,0,0,1,0,0,0,0
74857,1436,0,677,259,44,456,227,96,146,57
