Month,Zip,ReferralsAll,NoDispositions,ScreenOuts,Assessments,InvestigationsOutOfHome,InvestigationsInHome,InvestigationsWithAtLeast1ChildAge5OrYounger,InvestigationsConfirmed,ChildrenConfirmed,ChildrenRemoved
2001/07,73003,16,,6,1,1,8,5,,,
2001/07,73007,1,,,,,1,1,,,
2001/07,73008,15,,,4,1,10,8,1,2,
2001/07,73013,11,,2,1,,8,4,3,7,1
2001/07,73020,18,,2,1,2,13,3,4,15,
2001/07,73034,22,,10,1,,11,5,2,4,
2001/07,73036,21,,2,1,1,17,8,1,1,
2001/07,73045,9,,2,1,,6,4,1,5,
2001/07,73049,2,,1,,1,,,,,
2001/07,73054,2,,,1,,1,1,1,1,
2001/07,73064,12,,3,4,,5,2,,,
2001/07,73066,1,,,,1,,,,,
2001/07,73071,29,,8,6,1,14,9,4,6,
2001/07,73072,19,,4,6,1,8,4,4,9,
2001/07,73084,22,,8,2,3,9,6,,,
2001/07,73103,6,,1,,,5,4,2,3,
2001/07,73104,4,,,,1,3,1,,,
2001/07,73105,9,,4,,2,3,1,,,
2001/07,73106,33,,8,1,1,23,15,6,15,
2001/07,73107,37,,7,3,,27,11,4,6,
2001/07,73108,41,,6,,1,34,18,11,18,1
2001/07,73109,36,,4,1,2,29,16,9,12,
2001/07,73110,44,,8,1,1,34,15,10,18,
2001/07,73111,24,,11,,3,10,5,2,5,
2001/07,73112,36,,6,8,,22,9,6,6,
2001/07,73114,49,,11,2,3,33,16,7,11,
2001/07,73115,37,,11,1,3,22,15,7,11,
2001/07,73116,4,,,,,4,2,2,2,
2001/07,73117,12,,2,,1,9,6,,,
2001/07,73118,28,,11,3,,14,7,5,12,
2001/07,73119,74,,16,13,1,44,21,19,28,
2001/07,73120,14,,5,,,9,7,2,2,
2001/07,73122,7,,5,,,2,2,,,
2001/07,73127,34,,4,9,,21,10,5,7,
2001/07,73128,3,,,3,,,,,,
2001/07,73129,52,,12,1,1,38,26,7,12,3
2001/07,73130,11,,3,3,,5,4,1,1,
2001/07,73132,26,,11,1,,14,9,3,5,
2001/07,73134,1,,1,,,,,,,
2001/07,73135,20,,4,,3,13,5,6,8,1
2001/07,73139,25,,9,4,1,11,8,4,7,
2001/07,73140,1,,,,,1,1,,,
2001/07,73141,7,,4,,,3,1,1,2,
2001/07,73142,5,,3,1,1,,,,,
2001/07,73145,9,,2,1,1,5,3,2,2,
2001/07,73149,11,,1,,,10,4,2,4,
2001/07,73150,3,,1,1,,1,,,,
2001/07,73157,2,,,,,2,1,1,2,
2001/07,73159,28,,8,8,,12,4,5,5,
2001/07,73160,56,,20,16,5,15,8,4,5,
2001/07,73162,12,,4,,1,7,2,1,1,
2001/07,73165,3,,1,1,,1,,,,
2001/07,73170,11,,4,1,,6,2,1,2,
2001/07,73173,1,,,,,1,,1,1,
2001/07,73189,1,,,,,1,,,,
2001/07,74857,8,,1,5,,2,1,,,
2001/08,73003,15,,3,,,12,5,4,5,
2001/08,73007,1,,,,,1,1,,,
2001/08,73008,18,,5,,,13,4,7,8,
2001/08,73013,12,,4,1,,7,5,1,1,
2001/08,73020,18,,7,,1,10,3,4,5,
