"StateName","CountPerCapita"
"alabama",NA
"arizona",NA
"arkansas",NA
"california",0.804192699026316
"colorado",NA
"connecticut",NA
"delaware",NA
"district of columbia",0.0927364870440215
"florida",NA
"georgia",NA
"idaho",NA
"illinois",NA
"indiana",0.920930397463962
"iowa",NA
"kansas",NA
"kentucky",NA
"louisiana",NA
"maine",NA
"maryland",NA
"massachusetts",NA
"michigan",0.89514705282636
"minnesota",NA
"mississippi",NA
"missouri",NA
"montana",0.0491703215520829
"nebraska",NA
"nevada",0.189538272796199
"new hampshire",NA
"new jersey",NA
"new mexico",0.850485329749063
"new york",NA
"north carolina",NA
"north dakota",NA
"ohio",NA
"oklahoma",NA
"oregon",NA
"pennsylvania",NA
"rhode island",NA
"south carolina",NA
"south dakota",0.522905898280442
"tennessee",0.770917054032907
"texas",NA
"utah",NA
"vermont",0.433383974945173
"virginia",NA
"washington",NA
"west virginia",NA
"wisconsin",NA
"wyoming",NA
