"StateName","Year","CountPerCapita","Proportion","Subst","Indic","Alt","totResponse","Year.1"
"alabama",2007,NA,NA,"6,387",NA,NA,"18,710",2007
"alabama",2008,NA,NA,"6,518",NA,NA,"19,605",2008
"alabama",2009,NA,NA,"5,804",NA,NA,"18,651",2009
"alabama",2010,NA,NA,"6,728",NA,NA,"19,900",2010
"alabama",2011,NA,NA,NA,NA,NA,NA,NA
"arizona",2007,NA,NA,"2,879","111",NA,"33,188",2007
"arizona",2008,NA,NA,"2,462","150",NA,"29,572",2008
"arizona",2009,NA,NA,"2,687","159",NA,"32,136",2009
"arizona",2010,NA,NA,"3,715","429",NA,"25,580",2010
"arizona",2011,NA,NA,NA,NA,NA,NA,NA
"arkansas",2007,NA,NA,"6,967",NA,NA,"27,846",2007
"arkansas",2008,NA,NA,"6,748",NA,NA,"27,824",2008
"arkansas",2009,NA,NA,"7,428",NA,NA,"30,381",2009
"arkansas",2010,NA,NA,"8,743",NA,NA,"34,532",2010
"arkansas",2011,NA,NA,NA,NA,NA,NA,NA
"california",2007,NA,NA,"54,533",NA,NA,"232,297",2007
"california",2008,NA,NA,"52,546",NA,NA,"244,194",2008
"california",2009,NA,NA,"49,823",NA,NA,"235,812",2009
"california",2010,NA,NA,"51,188",NA,NA,"228,535",2010
"california",2011,NA,NA,NA,NA,NA,NA,NA
"colorado",2007,97,NA,"7,196",NA,NA,"31,520",2007
"colorado",2008,97,NA,"7,528",NA,NA,"34,164",2008
"colorado",2009,97,NA,"7,697",NA,NA,"33,978",2009
"colorado",2010,97,NA,"7,464",NA,NA,"32,969",2010
"colorado",2011,97,NA,NA,NA,NA,NA,NA
"connecticut",2007,105,NA,"6,634",NA,NA,"26,479",2007
"connecticut",2008,105,NA,"6,505",NA,NA,"24,409",2008
"connecticut",2009,105,NA,"6,603",NA,NA,"24,937",2009
"connecticut",2010,105,NA,"7,075",NA,NA,"25,777",2010
"connecticut",2011,105,NA,NA,NA,NA,NA,NA
"delaware",2007,NA,0.901174078,"1,369",NA,NA,"5,693",2007
"delaware",2008,NA,0.901174078,"1,498",NA,NA,"6,274",2008
"delaware",2009,NA,0.901174078,"1,372",NA,NA,"5,862",2009
"delaware",2010,NA,0.901174078,"1,444",NA,NA,"6,681",2010
"delaware",2011,NA,0.901174078,NA,NA,NA,NA,NA
"district of columbia",2007,NA,NA,"1,699",NA,NA,"4,506",2007
"district of columbia",2008,NA,NA,"1,588",NA,NA,"4,694",2008
"district of columbia",2009,NA,NA,"1,990",NA,NA,"6,593",2009
"district of columbia",2010,NA,NA,"1,697",NA,NA,"5,806",2010
"district of columbia",2011,NA,NA,NA,NA,NA,NA,NA
"florida",2007,NA,NA,"31,656",NA,NA,"154,951",2007
"florida",2008,NA,NA,"31,310",NA,NA,"173,218",2008
"florida",2009,NA,NA,"30,134",NA,NA,"153,733",2009
"florida",2010,NA,NA,"33,612",NA,NA,"151,441",2010
"florida",2011,NA,NA,NA,NA,NA,NA,NA
"georgia",2007,NA,NA,"21,541",NA,NA,"48,965",2007
"georgia",2008,NA,NA,"16,298",NA,NA,"32,430",2008
"georgia",2009,NA,NA,"15,341",NA,NA,"28,095",2009
"georgia",2010,NA,NA,"13,282",NA,NA,"26,011",2010
"georgia",2011,NA,NA,NA,NA,NA,NA,NA
"idaho",2007,NA,NA,"1,064",NA,NA,"7,089",2007
"idaho",2008,NA,NA,"1,180",NA,NA,"6,783",2008
"idaho",2009,NA,NA,"1,095",NA,NA,"6,966",2009
"idaho",2010,NA,NA,"1,050",NA,NA,"6,643",2010
"idaho",2011,NA,NA,NA,NA,NA,NA,NA
"illinois",2007,NA,NA,"17,207",NA,NA,"68,101",2007
"illinois",2008,NA,NA,"17,511",NA,NA,"67,021",2008
"illinois",2009,NA,NA,"17,546",NA,NA,"68,591",2009
"illinois",2010,NA,NA,"16,778",NA,NA,"65,761",2010
"illinois",2011,NA,NA,NA,NA,NA,NA,NA
"indiana",2007,99,NA,"12,899",NA,NA,"41,900",2007
"indiana",2008,99,NA,"14,929","2",NA,"66,690",2008
"indiana",2009,99,NA,"16,198",NA,NA,"67,505",2009
"indiana",2010,99,NA,"15,332",NA,NA,"66,735",2010
"indiana",2011,99,NA,NA,NA,NA,NA,NA
"iowa",2007,NA,NA,"8,958",NA,NA,"23,093",2007
"iowa",2008,NA,NA,"7,292",NA,NA,"21,661",2008
"iowa",2009,NA,NA,"8,378",NA,NA,"24,940",2009
"iowa",2010,NA,NA,"8,550",NA,NA,"24,982",2010
"iowa",2011,NA,NA,NA,NA,NA,NA,NA
"kansas",2007,NA,NA,"1,558",NA,NA,"16,912",2007
"kansas",2008,NA,NA,"1,214",NA,NA,"16,823",2008
"kansas",2009,NA,NA,"1,016",NA,NA,"17,942",2009
"kansas",2010,NA,NA,"1,116",NA,NA,"17,379",2010
"kansas",2011,NA,NA,NA,NA,NA,NA,NA
"kentucky",2007,NA,NA,"9,843",NA,"1,724","48,600",2007
"kentucky",2008,NA,NA,"9,771",NA,"1,617","49,976",2008
"kentucky",2009,NA,NA,"9,137",NA,"1,564","47,633",2009
"kentucky",2010,NA,NA,"9,723",NA,"1,516","49,141",2010
"kentucky",2011,NA,NA,NA,NA,NA,NA,NA
"louisiana",2007,NA,NA,"5,792",NA,NA,"19,293",2007
"louisiana",2008,NA,NA,"6,198",NA,NA,"21,405",2008
"louisiana",2009,NA,NA,"5,909",NA,NA,"22,804",2009
"louisiana",2010,NA,NA,"5,536",NA,NA,"21,822",2010
"louisiana",2011,NA,NA,NA,NA,NA,NA,NA
"maine",2007,NA,NA,"2,566",NA,NA,"6,710",2007
"maine",2008,NA,NA,"2,447",NA,NA,"6,216",2008
"maine",2009,NA,NA,"2,484",NA,NA,"6,288",2009
"maine",2010,NA,NA,"2,179",NA,NA,"6,077",2010
"maine",2011,NA,NA,NA,NA,NA,NA,NA
"maryland",2007,NA,NA,NA,NA,NA,NA,2007
"maryland",2008,NA,NA,NA,NA,NA,NA,2008
"maryland",2009,NA,NA,"5,687","5,741",NA,"28,929",2009
"maryland",2010,NA,NA,"4,988","4,756",NA,"26,294",2010
"maryland",2011,NA,NA,NA,NA,NA,NA,NA
"massachusetts",2007,NA,NA,"23,012",NA,NA,"39,801",2007
"massachusetts",2008,NA,NA,"25,590",NA,NA,"44,307",2008
"massachusetts",2009,NA,NA,"23,935",NA,NA,"42,447",2009
"massachusetts",2010,NA,NA,"16,621",NA,NA,"39,825",2010
"massachusetts",2011,NA,NA,NA,NA,NA,NA,NA
"michigan",2007,81,NA,NA,NA,NA,NA,2007
"michigan",2008,81,NA,"10,656","7,297",NA,"71,820",2008
"michigan",2009,81,NA,"10,601","9,153",NA,"75,441",2009
"michigan",2010,81,NA,"11,363","9,991",NA,"77,286",2010
"michigan",2011,81,NA,NA,NA,NA,NA,NA
"minnesota",2007,NA,NA,"4,506",NA,NA,"18,993",2007
