StateName,Year,CountPerCapita,Proportion,ChildPopulation,ScreenInCount,ScreenInPercent,ScreenOutCount,ScreenOutPercent,TotalReferralCount,TotalReferralRate
alabama,2007,NA,NA,1123537,18710,61.4,11752,38.6,30462,27.1
alabama,2008,NA,NA,1121877,19605,61.2,12418,38.8,32023,28.5
alabama,2009,NA,NA,1128864,18651,47.9,20286,52.1,38937,34.5
alabama,2010,NA,NA,1128864,19900,98.7,259,1.3,20159,17.9
alabama,2011,NA,NA,1127143,18700,98.6,266,1.4,18966,16.8
arizona,2007,NA,NA,1669866,33188,99.3,245,0.7,33433,20
arizona,2008,NA,NA,1707221,29572,98.7,399,1.3,29971,17.6
arizona,2009,NA,NA,1732019,32136,97.2,914,2.8,33050,19.1
arizona,2010,NA,NA,1732019,25580,42.3,34902,57.7,60482,34.9
arizona,2011,NA,NA,1625114,31364,60.8,20189,39.2,51553,31.7
arkansas,2007,NA,NA,700537,27846,69.3,12338,30.7,40184,57.4
arkansas,2008,NA,NA,702481,27824,69,12477,31,40301,57.4
arkansas,2009,NA,NA,709968,30381,72.5,11547,27.5,41928,59.1
arkansas,2010,NA,NA,709968,34532,75.3,11340,24.7,45872,64.6
arkansas,2011,NA,NA,710474,33670,73.7,11986,26.3,45656,64.3
california,2007,NA,NA,9383924,232297,68.5,107006,31.5,339303,36.2
california,2008,NA,NA,9364530,244194,69.4,107764,30.6,351958,37.6
california,2009,NA,NA,9435682,235812,68.1,110316,31.9,346128,36.7
california,2010,NA,NA,9435682,228535,66.5,115258,33.5,343793,36.4
california,2011,NA,NA,9271919,238139,67.8,113347,32.2,351486,37.9
colorado,2007,97,NA,1192679,31520,47.9,34306,52.1,65826,55.2
colorado,2008,97,NA,1207135,34164,48,36977,52,71141,58.9
colorado,2009,97,NA,1227763,33978,47.6,37362,52.4,71340,58.1
colorado,2010,97,NA,1227763,32969,45.3,39849,54.7,72818,59.3
colorado,2011,97,NA,1230088,31603,44.7,39144,55.3,70747,57.5
connecticut,2007,105,NA,NA,NA,NA,NA,NA,NA,NA
connecticut,2008,105,NA,NA,NA,NA,NA,NA,NA,NA
connecticut,2009,105,NA,807985,24937,59.5,16971,40.5,41908,51.9
connecticut,2010,105,NA,807985,25777,56.9,19536,43.1,45313,56.1
connecticut,2011,105,NA,803314,29780,63,17462,37,47242,58.8
delaware,2007,NA,0.901174078,205646,5693,77.9,1613,22.1,7306,35.5
delaware,2008,NA,0.901174078,206229,6274,72.2,2415,27.8,8689,42.1
delaware,2009,NA,0.901174078,206993,5862,63.4,3378,36.6,9240,44.6
delaware,2010,NA,0.901174078,206993,6681,60.3,4403,39.7,11084,53.5
delaware,2011,NA,0.901174078,204668,7347,53.3,6437,46.7,13784,67.3
district of columbia,2007,NA,NA,113720,4506,92.2,382,7.8,4888,43
district of columbia,2008,NA,NA,112016,4694,88.4,616,11.6,5310,47.4
district of columbia,2009,NA,NA,114036,6593,88.2,883,11.8,7476,65.6
district of columbia,2010,NA,NA,114036,5806,92.6,462,7.4,6268,55
district of columbia,2011,NA,NA,105334,6190,92,537,8,6727,63.9
florida,2007,NA,NA,4043560,154951,59.6,104913,40.4,259864,64.3
florida,2008,NA,NA,4004271,173218,68,81475,32,254693,63.6
florida,2009,NA,NA,4057773,153733,75.3,50469,24.7,204202,50.3
florida,2010,NA,NA,4057773,151441,78.3,41898,21.7,193339,47.6
florida,2011,NA,NA,3994431,167212,80.2,41225,19.8,208437,52.2
georgia,2007,NA,NA,2531609,48965,77,14656,23,63621,25.1
georgia,2008,NA,NA,2548841,32430,70.5,13559,29.5,45989,18
georgia,2009,NA,NA,2583792,28095,70.5,11740,29.5,39835,15.4
georgia,2010,NA,NA,2583792,26011,67.4,12567,32.6,38578,14.9
georgia,2011,NA,NA,2489858,22194,65.8,11529,34.2,33723,13.5
idaho,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
idaho,2008,NA,NA,412640,6783,43.8,8697,56.2,15480,37.5
idaho,2009,NA,NA,419190,6966,46,8187,54,15153,36.1
idaho,2010,NA,NA,419190,6643,44.6,8244,55.4,14887,35.5
idaho,2011,NA,NA,428116,6545,44.1,8308,55.9,14853,34.7
illinois,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
illinois,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
indiana,2007,99,NA,1586518,41900,60.8,27071,39.2,68971,43.5
indiana,2008,99,NA,1584681,66690,73.1,24548,26.9,91238,57.6
indiana,2009,99,NA,1589365,67505,81.3,15541,18.7,83046,52.3
indiana,2010,99,NA,1589365,66735,70.1,28413,29.9,95148,59.9
indiana,2011,99,NA,1597603,61473,52.7,55153,47.3,116626,73
iowa,2007,NA,NA,711403,23093,58,16754,42,39847,56
iowa,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
iowa,2009,NA,NA,713155,24940,58.7,17577,41.3,42517,59.6
iowa,2010,NA,NA,713155,24982,58.1,18043,41.9,43025,60.3
iowa,2011,NA,NA,724370,28810,58.4,20545,41.6,49355,68.1
kansas,2007,NA,NA,696082,16912,53.9,14490,46.1,31402,45.1
kansas,2008,NA,NA,700485,16823,54.4,14126,45.6,30949,44.2
kansas,2009,NA,NA,704951,17942,54,15296,46,33238,47.1
kansas,2010,NA,NA,704951,17379,53.7,14998,46.3,32377,45.9
kansas,2011,NA,NA,723922,20566,59.8,13829,40.2,34395,47.5
kentucky,2007,NA,NA,1003973,48600,76.4,15012,23.6,63612,63.4
kentucky,2008,NA,NA,1008064,49976,69.7,21747,30.3,71723,71.1
kentucky,2009,NA,NA,1014323,47633,68.1,22352,31.9,69985,69
kentucky,2010,NA,NA,1014323,49141,67.3,23885,32.7,73026,72
kentucky,2011,NA,NA,1020955,49459,71.3,19901,28.7,69360,67.9
louisiana,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
louisiana,2008,NA,NA,1107973,21405,57.9,15533,42.1,36938,33.3
louisiana,2009,NA,NA,1123386,22804,60.8,14730,39.2,37534,33.4
louisiana,2010,NA,NA,1123386,21822,56.5,16820,43.5,38642,34.4
louisiana,2011,NA,NA,1118196,26255,60.1,17410,39.9,43665,39
maine,2007,NA,NA,279467,6710,40.2,9968,59.8,16678,59.7
maine,2008,NA,NA,274867,6216,38.4,9975,61.6,16191,58.9
maine,2009,NA,NA,271176,6288,39.6,9604,60.4,15892,58.6
maine,2010,NA,NA,271176,6077,39,9501,61,15578,57.4
maine,2011,NA,NA,269218,6513,42,9003,58,15516,57.6
maryland,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
maryland,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
maryland,2009,NA,NA,1351935,28929,53.9,24708,46.1,53637,39.7
maryland,2010,NA,NA,1351935,26294,58.3,18835,41.7,45129,33.4
maryland,2011,NA,NA,1346635,27315,51.1,26112,48.9,53427,39.7
massachusetts,2007,NA,NA,1432856,39801,58.7,27992,41.3,67793,47.3
massachusetts,2008,NA,NA,1427033,44307,62,27123,38,71430,50.1
massachusetts,2009,NA,NA,1433002,42447,60.3,27915,39.7,70362,49.1
massachusetts,2010,NA,NA,1433002,39825,55.3,32210,44.7,72035,50.3
massachusetts,2011,NA,NA,1405015,37799,51.6,35495,48.4,73294,52.2
michigan,2007,81,NA,NA,NA,NA,NA,NA,NA,NA
michigan,2008,81,NA,2390198,71820,61.5,44910,38.5,116730,48.8
michigan,2009,81,NA,2349892,75441,62.4,45536,37.6,120977,51.5
michigan,2010,81,NA,2349892,77286,66.5,38862,33.5,116148,49.4
michigan,2011,81,NA,2295812,83320,67.4,40246,32.6,123566,53.8
minnesota,2007,NA,NA,1260282,18993,33.6,37588,66.4,56581,44.9
minnesota,2008,NA,NA,1254644,18608,34.9,34731,65.1,53339,42.5
minnesota,2009,NA,NA,1260797,17678,32.8,36232,67.2,53910,42.8
minnesota,2010,NA,NA,1260797,17803,31.9,38085,68.1,55888,44.3
minnesota,2011,NA,NA,1277526,18186,31.3,39999,68.7,58185,45.5
mississippi,2007,90,NA,768704,17871,66.3,9093,33.7,26964,35.1
mississippi,2008,90,NA,766720,19063,63.8,10827,36.2,29890,39
mississippi,2009,90,NA,767742,19717,65,10595,35,30312,39.5
mississippi,2010,90,NA,767742,19976,69.7,8690,30.3,28666,37.3
mississippi,2011,90,NA,750239,19774,75.2,6536,24.8,26310,35.1
missouri,2007,NA,NA,1424830,54635,53.3,47944,46.7,102579,72
missouri,2008,NA,NA,1421469,49129,49.8,49557,50.2,98686,69.4
missouri,2009,NA,NA,1431338,49755,51,47746,49,97501,68.1
missouri,2010,NA,NA,1431338,50969,50.5,50045,49.5,101014,70.6
missouri,2011,NA,NA,1412121,58782,58.3,41979,41.7,100761,71.4
montana,2007,NA,0.770823122,219498,8699,67.7,4153,32.3,12852,58.6
montana,2008,NA,0.770823122,220358,7988,65.3,4253,34.7,12241,55.6
montana,2009,NA,0.770823122,219828,8148,58.1,5888,41.9,14036,63.8
montana,2010,NA,0.770823122,219828,7419,57.4,5500,42.6,12919,58.8
montana,2011,NA,0.770823122,222354,7536,62.6,4506,37.4,12042,54.2
nebraska,2007,NA,NA,446145,11290,49,11760,51,23050,51.7
nebraska,2008,NA,NA,446995,12472,53.8,10721,46.2,23193,51.9
nebraska,2009,NA,NA,451641,13532,54.6,11255,45.4,24787,54.9
nebraska,2010,NA,NA,451641,13138,48.8,13771,51.2,26909,59.6
nebraska,2011,NA,NA,460065,13489,46.3,15662,53.7,29151,63.4
nevada,2007,NA,NA,660002,16342,72.7,6150,27.3,22492,34.1
nevada,2008,NA,NA,667801,14332,70.5,5989,29.5,20321,30.4
nevada,2009,NA,NA,681033,12241,68,5759,32,18000,26.4
nevada,2010,NA,NA,681033,12108,64.9,6541,35.1,18649,27.4
nevada,2011,NA,NA,663775,13667,54.8,11274,45.2,24941,37.6
