"StateName","Year","CountPerCapita","Proportion","childPop","numDup","rateDup","numUnq","rateUnq"
"alabama",2007,NA,NA,1123537,9247,8.2,NA,NA
"alabama",2008,NA,NA,1121877,9217,8.2,9011,8
"alabama",2009,NA,NA,1128864,8295,7.3,8123,7.2
"alabama",2010,NA,NA,1128864,9322,8.25785922839244,9367,8.29772231198798
"alabama",2011,NA,NA,1127143,NA,NA,8601,7.6
"arizona",2007,NA,NA,1669866,4025,2.4,NA,NA
"arizona",2008,NA,NA,1707221,3516,2.1,3450,2
"arizona",2009,NA,NA,1732019,3922,2.3,3803,2.2
"arizona",2010,NA,NA,1732019,6006,3.46762939667521,6023,3.47744453149763
"arizona",2011,NA,NA,1625114,NA,NA,8708,5.4
"arkansas",2007,NA,NA,700537,9847,14.1,NA,NA
"arkansas",2008,NA,NA,702481,9289,13.2,8759,12.5
"arkansas",2009,NA,NA,709968,10556,14.9,9926,14
"arkansas",2010,NA,NA,709968,11606,16.347215649156,11729,16.5204628941023
"arkansas",2011,NA,NA,710474,NA,NA,11105,15.6
"california",2007,NA,NA,9383924,88319,9.4,NA,NA
"california",2008,NA,NA,9364530,84848,9.1,78421,8.4
"california",2009,NA,NA,9435682,79799,8.5,73962,7.8
"california",2010,NA,NA,9435682,76644,8.12278328159003,76758,8.13486507917499
"california",2011,NA,NA,9271919,NA,NA,80100,8.6
"colorado",2007,97,NA,1192679,10588,8.9,NA,NA
"colorado",2008,97,NA,1207135,11247,9.3,10699,8.9
"colorado",2009,97,NA,1227763,11881,9.7,11341,9.2
"colorado",2010,97,NA,1227763,11139,9.07259788737729,11166,9.09458910229417
"colorado",2011,97,NA,1230088,NA,NA,10604,8.6
"connecticut",2007,105,NA,820216,9875,12,NA,NA
"connecticut",2008,105,NA,812213,9641,11.9,8972,11
"connecticut",2009,105,NA,807985,9756,12.1,9090,11.3
"connecticut",2010,105,NA,807985,9961,12.3281991621132,10021,12.4024579664226
"connecticut",2011,105,NA,803314,NA,NA,10012,12.5
"delaware",2007,NA,0.901174078,205646,2116,10.3,NA,NA
"delaware",2008,NA,0.901174078,206229,2278,11,2226,10.8
"delaware",2009,NA,0.901174078,206993,2071,10,2015,9.7
"delaware",2010,NA,0.901174078,206993,2116,10.2225679129246,2125,10.2660476441232
"delaware",2011,NA,0.901174078,204668,NA,NA,2466,12
"district of columbia",2007,NA,NA,113720,2757,24.2,NA,NA
"district of columbia",2008,NA,NA,112016,2645,23.6,2549,22.8
"district of columbia",2009,NA,NA,114036,3407,29.9,3279,28.8
"district of columbia",2010,NA,NA,114036,2666,23.3785822021116,2672,23.4311971658073
"district of columbia",2011,NA,NA,105334,NA,NA,2377,22.6
"florida",2007,NA,NA,4043560,53484,13.2,NA,NA
"florida",2008,NA,NA,4004271,51271,12.8,47981,12
"florida",2009,NA,NA,4057773,49078,12.1,45841,11.3
"florida",2010,NA,NA,4057773,50093,12.3449488179846,50239,12.3809291451247
"florida",2011,NA,NA,3994431,NA,NA,51920,13
"georgia",2007,NA,NA,2531609,35729,14.1,NA,NA
"georgia",2008,NA,NA,2548841,26330,10.3,25716,10.1
"georgia",2009,NA,NA,2583792,23921,9.3,23249,9
"georgia",2010,NA,NA,2583792,19964,7.72662814963434,19976,7.73127248633017
"georgia",2011,NA,NA,2489858,NA,NA,18541,7.4
"idaho",2007,NA,NA,407712,1582,3.9,NA,NA
"idaho",2008,NA,NA,412640,1836,4.4,1764,4.3
