State,Substantiated,Total Report Dispositions
alabama,"6,387","18,710"
alaska,"1,830","4,906"
arizona,"2,879","33,188"
arkansas,"6,967","27,846"
california,"54,533","232,297"
colorado,"7,196","31,520"
connecticut,"6,634","26,479"
delaware,"1,369","5,693"
district of columbia,"1,699","4,506"
florida,"31,656","154,951"
georgia,"21,541","48,965"
hawaii,"1,170","2,527"
idaho,"1,064","7,089"
illinois,"17,207","68,101"
indiana,"12,899","41,900"
iowa,"8,958","23,093"
kansas,"1,558","16,912"
kentucky,"9,843","48,600"
louisiana,"5,792","19,293"
maine,"2,566","6,710"
maryland,,
massachusetts,"23,012","39,801"
michigan,,
minnesota,"4,506","18,993"
mississippi,"4,791","17,871"
missouri,"5,452","54,635"
montana,"1,024","8,699"
nebraska,"2,401","11,290"
nevada,"3,068","16,342"
new hampshire,649,"6,834"
new jersey,"5,352","44,606"
new mexico,"3,784","14,853"
new york,"50,989","155,509"
north carolina,"6,775","66,814"
north dakota,660,"3,586"
ohio,"16,508","77,436"
oklahoma,"7,344","35,873"
oregon,"7,227","26,381"
pennsylvania,"4,177","23,513"
puerto rico,"5,384","15,709"
rhode island,"2,462","7,710"
south carolina,"7,222","18,337"
south dakota,851,"3,627"
tennessee,"9,961","62,183"
texas,"42,295","166,584"
utah,"8,507","20,386"
vermont,728,"2,564"
virginia,"4,377","30,196"
washington,"4,769","35,262"
west virginia,"4,438","21,962"
wisconsin,"5,468","26,978"
wyoming,478,"2,442"
