State,Substantiated,Indicated,altrespvict,Total Report Dispositions
Alabama,"6,728",,,"19,900"
Alaska,"1,845",,,"5,240"
Arizona,"3,715",429,,"25,580"
Arkansas,"8,743",,,"34,532"
California,"51,188",,,"228,535"
Colorado,"7,464",,,"32,969"
Connecticut,"7,075",,,"25,777"
Delaware,"1,444",,,"6,681"
District of Columbia,"1,697",,,"5,806"
Florida,"33,612",,,"151,441"
Georgia,"13,282",,,"26,011"
Hawaii,978,,,"2,668"
Idaho,"1,050",,,"6,643"
Illinois,"16,778",,,"65,761"
Indiana,"15,332",,,"66,735"
Iowa,"8,550",,,"24,982"
Kansas,"1,116",,,"17,379"
Kentucky,"9,723",,"1,516","49,141"
Louisiana,"5,536",,,"21,822"
Maine,"2,179",,,"6,077"
Maryland,"4,988","4,756",,"26,294"
Massachusetts,"16,621",,,"39,825"
Michigan,"11,363","9,991",,"77,286"
Minnesota,"3,085",,,"17,803"
Mississippi,"5,334",,,"19,976"
Missouri,"4,061",,,"50,969"
Montana,844,44,,"7,419"
Nebraska,"2,923",,,"13,138"
Nevada,"3,019",,,"12,108"
New Hampshire,615,,,"7,909"
New Jersey,"6,377",,,"60,168"
New Mexico,"3,686",,,"16,622"
New York,"53,172",,,"169,395"
North Carolina,"4,693",,"7,336","66,136"
North Dakota,581,,,"3,871"
Ohio,"14,669","9,310",,"71,811"
Oklahoma,"4,521",,,"28,583"
Oregon,"7,306",,,"29,021"
Pennsylvania,"3,706",,,"24,840"
Puerto Rico,"5,712",,,"16,236"
Rhode Island,"2,328",,,"6,825"
South Carolina,"6,889",,,"18,803"
South Dakota,797,,,"3,838"
Tennessee,"6,272",446,,"59,487"
Texas,"39,721",,,"175,168"
Utah,"8,354",,,"20,043"
Vermont,609,,,"3,795"
Virginia,"4,519",,,"33,996"
Washington,"5,025",,,"34,621"
West Virginia,"2,519",,,"17,686"
Wisconsin,"3,531",,,"26,521"
Wyoming,446,,,"3,213"
