State,childPop,numDup,rateDup
alabama,"1,123,537","9,247",8.2
alaska,"182,218","3,138",17.2
arizona,"1,669,866","4,025",2.4
arkansas,"700,537","9,847",14.1
california,"9,383,924","88,319",9.4
colorado,"1,192,679","10,588",8.9
connecticut,"820,216","9,875",12
delaware,"205,646","2,116",10.3
district of columbia,"113,720","2,757",24.2
florida,"4,043,560","53,484",13.2
georgia,"2,531,609","35,729",14.1
hawaii,"285,694","2,075",7.3
idaho,"407,712","1,582",3.9
illinois,"3,199,159","31,058",9.7
indiana,"1,586,518","18,380",11.6
iowa,"711,403","14,051",19.8
kansas,"696,082","2,272",3.3
kentucky,"1,003,973","18,778",18.7
louisiana,"1,079,560","9,468",8.8
maine,"279,467","4,118",14.7
maryland,,,
massachusetts,"1,432,856","37,690",26.3
michigan,,,
minnesota,"1,260,282","6,847",5.4
mississippi,"768,704","7,002",9.1
missouri,"1,424,830","7,235",5.1
montana,"219,498","1,886",8.6
nebraska,"446,145","4,108",9.2
nevada,"660,002","5,417",8.2
new hampshire,"298,186",912,3.1
new jersey,"2,063,789","7,543",3.7
new mexico,"500,276","6,065",12.1
new york,"4,413,414","83,502",18.9
north carolina,"2,217,680","25,976",11.7
north dakota,"142,809","1,288",9
ohio,"2,751,874","38,484",14
oklahoma,"899,507","13,179",14.7
oregon,"862,908","11,552",13.4
pennsylvania,"2,786,719","4,177",1.5
puerto rico,"1,002,944","10,696",10.7
rhode island,"233,115","3,857",16.5
south carolina,"1,059,917","12,762",12
south dakota,"196,890","1,485",7.5
tennessee,"1,471,486","16,059",10.9
texas,"6,623,366","71,111",10.7
utah,"816,822","13,611",16.7
vermont,"131,353",872,6.6
virginia,"1,826,179","6,413",3.5
washington,"1,536,368","6,984",4.5
west virginia,"387,381","7,109",18.4
wisconsin,"1,321,279","7,856",5.9
wyoming,"125,365",772,6.2
