,<1,,,1,,,2,,,3,,,4–7,,,8–11,,,12–15,,,16–17,,,Unknown and 18–21,, Total Unique Victims 
State, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Number ,Percent,
Alabama," 62,128 "," 1,134 ",12.1," 63,535 ", 640 ,6.8," 64,979 ", 650 ,6.9," 62,645 ", 585 ,6.2," 246,612 "," 2,020 ",21.6," 248,959 "," 1,644 ",17.6," 249,162 "," 2,128 ",22.7," 130,844 ", 521 ,5.6, 45 ,0.5," 9,367 "
Alaska," 11,347 ", 395 ,14.0," 11,429 ", 239 ,8.5," 10,958 ", 224 ,7.9," 10,471 ", 186 ,6.6," 40,351 ", 703 ,24.9," 38,694 ", 535 ,18.9," 39,049 ", 399 ,14.1," 21,247 ", 103 ,3.6, 41 ,1.5," 2,825 "
Arizona," 103,592 "," 1,174 ",19.5," 102,498 ", 457 ,7.6," 105,794 ", 443 ,7.4," 103,600 ", 418 ,6.9," 402,340 "," 1,294 ",21.5," 372,189 ", 938 ,15.6," 358,772 ", 922 ,15.3," 183,234 ", 360 ,6.0, 17 ,0.3," 6,023 "
Arkansas," 40,590 "," 1,331 ",11.3," 41,214 ", 690 ,5.9," 42,136 ", 727 ,6.2," 40,487 ", 729 ,6.2," 158,640 "," 2,747 ",23.4," 154,106 "," 2,088 ",17.8," 153,037 "," 2,470 ",21.1," 79,758 ", 824 ,7.0, 123 ,1.0," 11,729 "
California," 554,411 "," 10,290 ",13.4," 559,208 "," 5,649 ",7.4," 558,792 "," 5,149 ",6.7," 543,121 "," 4,800 ",6.3," 2,111,716 "," 16,916 ",22.0," 1,973,908 "," 14,014 ",18.3," 2,052,255 "," 14,183 ",18.5," 1,082,271 "," 5,643 ",7.4, 114 ,0.1," 76,758 "
Colorado," 73,276 "," 1,196 ",10.7," 72,808 ", 849 ,7.6," 73,373 ", 831 ,7.4," 72,663 ", 845 ,7.6," 284,287 "," 2,849 ",25.5," 264,315 "," 2,226 ",19.9," 254,325 "," 1,780 ",15.9," 132,716 ", 563 ,5.0, 27 ,0.2," 11,166 "
Connecticut," 41,216 "," 1,140 ",11.4," 41,520 ", 723 ,7.2," 42,692 ", 676 ,6.7," 42,380 ", 661 ,6.6," 174,019 "," 2,279 ",22.7," 178,172 "," 2,058 ",20.5," 189,374 "," 1,874 ",18.7," 98,612 ", 550 ,5.5, 60 ,0.6," 10,021 "
Delaware," 11,921 ", 245 ,11.5," 12,087 ", 179 ,8.4," 12,024 ", 133 ,6.3," 11,894 ", 133 ,6.3," 46,396 ", 570 ,26.8," 44,179 ", 400 ,18.8," 44,610 ", 306 ,14.4," 23,882 ", 150 ,7.1, 9 ,0.4," 2,125 "
District of Columbia," 7,848 ", 264 ,9.9," 7,628 ", 143 ,5.4," 7,859 ", 139 ,5.2," 7,015 ", 126 ,4.7," 25,567 ", 630 ,23.6," 22,589 ", 580 ,21.7," 22,515 ", 596 ,22.3," 13,015 ", 188 ,7.0, 6 ,0.2," 2,672 "
Florida," 231,945 "," 7,018 ",14.0," 232,442 "," 4,330 ",8.6," 239,532 "," 4,349 ",8.7," 233,050 "," 3,846 ",7.7," 901,235 "," 11,858 ",23.6," 870,030 "," 8,841 ",17.6," 882,453 "," 7,184 ",14.3," 467,086 "," 2,667 ",5.3, 146 ,0.3," 50,239 "
Georgia," 147,740 "," 2,853 ",14.3," 151,103 "," 1,425 ",7.1," 153,584 "," 1,389 ",7.0," 150,183 "," 1,215 ",6.1," 590,694 "," 4,689 ",23.5," 563,793 "," 3,807 ",19.1," 544,476 "," 3,416 ",17.1," 282,219 "," 1,170 ",5.9, 12 ,0.1," 19,976 "
Hawaii," 18,673 ", 232 ,13.3," 18,478 ", 120 ,6.9," 17,904 ", 117 ,6.7," 17,174 ", 116 ,6.7," 66,290 ", 388 ,22.2," 59,245 ", 335 ,19.2," 60,524 ", 304 ,17.4," 32,073 ", 129 ,7.4, 3 ,0.2," 1,744 "
Idaho," 25,185 ", 226 ,14.0," 25,401 ", 122 ,7.6," 25,470 ", 109 ,6.8," 24,650 ", 124 ,7.7," 94,767 ", 370 ,23.0," 90,167 ", 282 ,17.5," 88,330 ", 267 ,16.6," 45,220 ", 107 ,6.7, 2 ,0.1," 1,609 "
Illinois," 181,133 "," 3,710 ",14.0," 179,925 "," 2,219 ",8.4," 179,630 "," 2,101 ",7.9," 176,798 "," 2,024 ",7.7," 707,343 "," 6,553 ",24.8," 689,829 "," 4,916 ",18.6," 700,475 "," 3,705 ",14.0," 362,244 "," 1,169 ",4.4, 45 ,0.2," 26,442 "
Indiana," 88,683 "," 2,895 ",13.6," 89,699 "," 1,421 ",6.7," 90,371 "," 1,534 ",7.2," 89,435 "," 1,383 ",6.5," 350,086 "," 4,909 ",23.0," 349,445 "," 3,930 ",18.4," 350,011 "," 3,974 ",18.6," 181,635 "," 1,309 ",6.1, 7 ,0.0," 21,362 "
Iowa," 40,742 "," 1,439 ",12.0," 41,396 "," 1,063 ",8.9," 41,500 "," 1,050 ",8.7," 40,933 "," 1,007 ",8.4," 155,773 "," 3,032 ",25.3," 153,259 "," 2,248 ",18.7," 156,309 "," 1,643 ",13.7," 83,243 ", 516 ,4.3, 7 ,0.1," 12,005 "
Kansas," 41,506 ", 135 ,9.0," 41,764 ", 93 ,6.2," 42,177 ", 111 ,7.4," 40,388 ", 110 ,7.3," 157,642 ", 392 ,26.1," 152,657 ", 292 ,19.4," 150,337 ", 286 ,19.0," 78,480 ", 83 ,5.5, 2 ,0.1," 1,504 "
Kentucky," 56,470 "," 2,366 ",13.9," 57,849 "," 1,364 ",8.0," 59,478 "," 1,306 ",7.7," 57,414 "," 1,226 ",7.2," 223,873 "," 4,029 ",23.7," 221,342 "," 3,093 ",18.2," 221,171 "," 2,609 ",15.3," 116,726 "," 1,011 ",5.9, 25 ,0.1," 17,029 "
Louisiana," 63,785 "," 1,365 ",16.4," 67,258 ", 619 ,7.4," 68,881 ", 562 ,6.7," 56,467 ", 530 ,6.4," 250,677 "," 1,959 ",23.5," 244,803 "," 1,526 ",18.3," 242,381 "," 1,341 ",16.1," 129,134 ", 438 ,5.2, 4 ,0.0," 8,344 "
