"StateName","Year","ChildPopulation","ScreenInCount","ScreenInPercent","ScreenOutCount","ScreenOutPercent","ReferralCount","refProp","varProp","refRate","varRate"
"alabama",2007,1123537,18710,61.4,11752,38.6,30462,0.0271125917526526,2.34771966754157e-08,27.1125917526526,0.0234771966754157
"arizona",2007,1669866,33188,99.3,245,0.7,33433,0.0200213669839376,1.17497522843343e-08,20.0213669839376,0.0117497522843343
"arkansas",2007,700537,27846,69.3,12338,30.7,40184,0.0573617096598752,7.71855646807683e-08,57.3617096598752,0.0771855646807683
"california",2007,9383924,232297,68.5,107006,31.5,339303,0.0361579015345819,3.71385229581968e-09,36.1579015345819,0.00371385229581968
"colorado",2007,1192679,31520,47.9,34306,52.1,65826,0.0551917154573863,4.3721395280924e-08,55.1917154573863,0.043721395280924
"connecticut",2007,.,.,.,.,.,.,.,.,.,.
"delaware",2007,205646,5693,77.9,1613,22.1,7306,0.0355270707915544,1.66620785391042e-07,35.5270707915544,0.166620785391042
"district of columbia",2007,113720,4506,92.2,382,7.8,4888,0.0429827646851917,3.61723941480911e-07,42.9827646851917,0.361723941480911
"florida",2007,4043560,154951,59.6,104913,40.4,259864,0.0642661417167051,1.48720446204714e-08,64.2661417167051,0.0148720446204714
"georgia",2007,2531609,48965,77,14656,23,63621,0.025130658012355,9.67728746430473e-09,25.130658012355,0.00967728746430473
"idaho",2007,.,.,.,.,.,.,.,.,.,.
"illinois",2007,.,.,.,.,.,.,.,.,.,.
"indiana",2007,1586518,41900,60.8,27071,39.2,68971,0.0434731909754569,2.62104007908315e-08,43.4731909754569,0.0262104007908315
"iowa",2007,711403,23093,58,16754,42,39847,0.0560118526348638,7.43242929805948e-08,56.0118526348638,0.0743242929805948
"kansas",2007,696082,16912,53.9,14490,46.1,31402,0.0451125011133746,6.18854723389922e-08,45.1125011133746,0.0618854723389922
"kentucky",2007,1003973,48600,76.4,15012,23.6,63612,0.0633602696486858,5.91108982798657e-08,63.3602696486858,0.0591108982798657
"louisiana",2007,.,.,.,.,.,.,.,.,.,.
"maine",2007,279467,6710,40.2,9968,59.8,16678,0.0596778868345815,2.0079807869101e-07,59.6778868345815,0.20079807869101
"maryland",2007,.,.,.,.,.,.,.,.,.,.
"massachusetts",2007,1432856,39801,58.7,27992,41.3,67793,0.0473131982557912,3.14579130956631e-08,47.3131982557912,0.0314579130956631
"michigan",2007,.,.,.,.,.,.,.,.,.,.
"minnesota",2007,1260282,18993,33.6,37588,66.4,56581,0.0448955075133978,3.40240524886591e-08,44.8955075133978,0.0340240524886591
"mississippi",2007,768704,17871,66.3,9093,33.7,26964,0.0350772208808592,4.40310047250107e-08,35.0772208808592,0.0440310047250107
"missouri",2007,1424830,54635,53.3,47944,46.7,102579,0.0719938518981212,4.68903217836462e-08,71.9938518981212,0.0468903217836462
"montana",2007,219498,8699,67.7,4153,32.3,12852,0.0585517863488506,2.51134291265566e-07,58.5517863488506,0.251134291265566
"nebraska",2007,446145,11290,49,11760,51,23050,0.051664817492071,1.09819821191725e-07,51.664817492071,0.109819821191725
"nevada",2007,660002,16342,72.7,6150,27.3,22492,0.0340786846100466,4.98745880547265e-08,34.0786846100466,0.0498745880547265
"new hampshire",2007,298186,6834,41.8,9516,58.2,16350,0.0548315480941426,1.73801081968108e-07,54.8315480941426,0.173801081968108
"new jersey",2007,.,.,.,.,.,.,.,.,.,.
"new mexico",2007,500276,14853,49.3,15277,50.7,30130,0.0602267548313331,1.13136534300705e-07,60.2267548313331,0.113136534300705
"new york",2007,.,.,.,.,.,.,.,.,.,.
"north carolina",2007,.,.,.,.,.,.,.,.,.,.
"north dakota",2007,.,.,.,.,.,.,.,.,.,.
"ohio",2007,.,.,.,.,.,.,.,.,.,.
"oklahoma",2007,899507,35873,57,27092,43,62965,0.0699994552571575,7.23724568245258e-08,69.9994552571575,0.0723724568245258
"oregon",2007,862908,26381,41.5,37123,58.5,63504,0.0735930133919259,7.90085174454539e-08,73.5930133919259,0.0790085174454539
"pennsylvania",2007,.,.,.,.,.,.,.,.,.,.
"rhode island",2007,233115,7710,62,4733,38,12443,0.0533770885614396,2.16751281462557e-07,53.3770885614396,0.216751281462557
"south carolina",2007,1059917,18337,67.2,8956,32.8,27293,0.0257501294912715,2.36688913589029e-08,25.7501294912715,0.0236688913589029
"south dakota",2007,196890,3627,25,10854,75,14481,0.0735486820051806,3.46077877903811e-07,73.5486820051806,0.346077877903811
"tennessee",2007,.,.,.,.,.,.,.,.,.,.
"texas",2007,6623366,166584,82.5,35431,17.5,202015,0.0305003528417424,4.46450963426627e-09,30.5003528417424,0.00446450963426627
"utah",2007,816822,20386,62.9,12038,37.1,32424,0.0396953069334567,4.6668171940662e-08,39.6953069334567,0.046668171940662
"vermont",2007,131353,2564,20.8,9763,79.2,12327,0.0938463529572983,6.47409766003917e-07,93.8463529572983,0.647409766003917
"virginia",2007,1826179,30196,52,27864,48,58060,0.0317931593781332,1.68561539667743e-08,31.7931593781332,0.0168561539667743
"washington",2007,1536368,35262,47.4,39119,52.6,74381,0.048413531133166,2.99860848028493e-08,48.413531133166,0.0299860848028493
"west virginia",2007,387381,21962,69,9851,31,31813,0.0821232843118274,1.94586338735421e-07,82.1232843118274,0.194586338735421
"wisconsin",2007,1321279,26978,49.3,27726,50.7,54704,0.0414023079152851,3.00376807733817e-08,41.4023079152851,0.0300376807733817
"wyoming",2007,125365,2442,48.2,2628,51.8,5070,0.0404419096238982,3.09547015274364e-07,40.4419096238982,0.309547015274364
