"StateName","Year","ChildPopulation","ScreenInCount","ScreenInPercent","ScreenOutCount","ScreenOutPercent","ReferralCount","refProp","varProp","refRate","varRate"
"alabama",2007,1123537,18710,61.4,11752,38.6,30462,0.0271125917526526,2.34771966754157e-08,27.1125917526526,0.0234771966754157
"alabama",2008,1121877,19605,61.2,12418,38.8,32023,0.0285441273865139,2.47169343682563e-08,28.5441273865138,0.0247169343682563
"alabama",2009,1128864,18651,47.9,20286,52.1,38937,0.0344921974657709,2.95008838795047e-08,34.4921974657709,0.0295008838795047
"alabama",2010,1128864,19900,98.7,259,1.3,20159,0.0178577756045015,1.55367479651763e-08,17.8577756045015,0.0155367479651763
"alabama",2011,1127143,18700,98.6,266,1.4,18966,0.0168266138369311,1.4677355849004e-08,16.8266138369311,0.014677355849004
"arizona",2007,1669866,33188,99.3,245,0.7,33433,0.0200213669839376,1.17497522843343e-08,20.0213669839376,0.0117497522843343
"arizona",2008,1707221,29572,98.7,399,1.3,29971,0.017555430726309,1.01025219220726e-08,17.555430726309,0.0101025219220726
"arizona",2009,1732019,32136,97.2,914,2.8,33050,0.0190817768165361,1.08068460046108e-08,19.0817768165361,0.0108068460046108
"arizona",2010,1732019,25580,42.3,34902,57.7,60482,0.034919940254697,1.945737201919e-08,34.919940254697,0.01945737201919
"arizona",2011,1625114,31364,60.8,20189,39.2,51553,0.0317226976076755,1.89010543655199e-08,31.7226976076755,0.0189010543655199
"arkansas",2007,700537,27846,69.3,12338,30.7,40184,0.0573617096598752,7.71855646807683e-08,57.3617096598752,0.0771855646807683
"arkansas",2008,702481,27824,69,12477,31,40301,0.0573695231614805,7.69818129938103e-08,57.3695231614805,0.0769818129938103
"arkansas",2009,709968,30381,72.5,11547,27.5,41928,0.0590561828138733,7.82690911214698e-08,59.0561828138733,0.0782690911214698
"arkansas",2010,709968,34532,75.3,11340,24.7,45872,0.0646113627656458,8.51259980269701e-08,64.6113627656458,0.0851259980269701
"arkansas",2011,710474,33670,73.7,11986,26.3,45656,0.0642613241300878,8.46361814100665e-08,64.2613241300878,0.0846361814100665
"california",2007,9383924,232297,68.5,107006,31.5,339303,0.0361579015345819,3.71385229581968e-09,36.1579015345819,0.00371385229581968
"california",2008,9364530,244194,69.4,107764,30.6,351958,0.0375841606572887,3.86261686651395e-09,37.5841606572887,0.00386261686651395
"california",2009,9435682,235812,68.1,110316,31.9,346128,0.036682881004256,3.74506551253885e-09,36.682881004256,0.00374506551253885
"california",2010,9435682,228535,66.5,115258,33.5,343793,0.0364354161151255,3.72075665199857e-09,36.4354161151255,0.00372075665199857
"california",2011,9271919,238139,67.8,113347,32.2,351486,0.0379086573124722,3.93355367030684e-09,37.9086573124722,0.00393355367030684
"colorado",2007,1192679,31520,47.9,34306,52.1,65826,0.0551917154573863,4.3721395280924e-08,55.1917154573863,0.043721395280924
"colorado",2008,1207135,34164,48,36977,52,71141,0.0589337563735622,4.59439654498161e-08,58.9337563735622,0.0459439654498161
"colorado",2009,1227763,33978,47.6,37362,52.4,71340,0.0581056767470595,4.45765241963031e-08,58.1056767470595,0.0445765241963031
"colorado",2010,1227763,32969,45.3,39849,54.7,72818,0.0593094921413986,4.54418941467759e-08,59.3094921413986,0.0454418941467759
"colorado",2011,1230088,31603,44.7,39144,55.3,70747,0.0575137713724547,4.40667151252363e-08,57.5137713724547,0.0440667151252363
"connecticut",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"connecticut",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"connecticut",2009,807985,24937,59.5,16971,40.5,41908,0.0518672995166989,6.08638560833976e-08,51.8672995166989,0.0608638560833976
"connecticut",2010,807985,25777,56.9,19536,43.1,45313,0.0560814866612623,6.55165052756239e-08,56.0814866612623,0.0655165052756239
"connecticut",2011,803314,29780,63,17462,37,47242,0.058808884197213,6.89025702735068e-08,58.808884197213,0.0689025702735068
"delaware",2007,205646,5693,77.9,1613,22.1,7306,0.0355270707915544,1.66620785391042e-07,35.5270707915544,0.166620785391042
"delaware",2008,206229,6274,72.2,2415,27.8,8689,0.0421327747310029,1.95693156755206e-07,42.1327747310029,0.195693156755206
"delaware",2009,206993,5862,63.4,3378,36.6,9240,0.04463919069727,2.0602886740693e-07,44.63919069727,0.20602886740693
"delaware",2010,206993,6681,60.3,4403,39.7,11084,0.0535477045117468,2.44840877968189e-07,53.5477045117468,0.244840877968189
"delaware",2011,204668,7347,53.3,6437,46.7,13784,0.0673480954521469,3.06898633353115e-07,67.3480954521469,0.306898633353115
"district of columbia",2007,113720,4506,92.2,382,7.8,4888,0.0429827646851917,3.61723941480911e-07,42.9827646851917,0.361723941480911
"district of columbia",2008,112016,4694,88.4,616,11.6,5310,0.047403942293958,4.03128200872635e-07,47.403942293958,0.403128200872635
"district of columbia",2009,114036,6593,88.2,883,11.8,7476,0.0655582447648111,5.37201947702201e-07,65.5582447648111,0.537201947702201
"district of columbia",2010,114036,5806,92.6,462,7.4,6268,0.0549650987407485,4.55504723606302e-07,54.9650987407485,0.455504723606302
"district of columbia",2011,105334,6190,92,537,8,6727,0.0638635198511402,5.67575243353174e-07,63.8635198511402,0.567575243353174
"florida",2007,4043560,154951,59.6,104913,40.4,259864,0.0642661417167051,1.48720446204714e-08,64.2661417167051,0.0148720446204714
"florida",2008,4004271,173218,68,81475,32,254693,0.0636053354031233,1.48740424190519e-08,63.6053354031233,0.0148740424190519
"florida",2009,4057773,153733,75.3,50469,24.7,204202,0.0503236627578724,1.17776898127382e-08,50.3236627578724,0.0117776898127382
"florida",2010,4057773,151441,78.3,41898,21.7,193339,0.0476465785542957,1.1182582689166e-08,47.6465785542957,0.011182582689166
"florida",2011,3994431,167212,80.2,41225,19.8,208437,0.0521819002506239,1.23819761905658e-08,52.1819002506239,0.0123819761905658
"georgia",2007,2531609,48965,77,14656,23,63621,0.025130658012355,9.67728746430473e-09,25.130658012355,0.00967728746430473
"georgia",2008,2548841,32430,70.5,13559,29.5,45989,0.0180431027278673,6.95121789543519e-09,18.0431027278673,0.00695121789543519
"georgia",2009,2583792,28095,70.5,11740,29.5,39835,0.015417262689876,5.87491976948118e-09,15.417262689876,0.00587491976948118
"georgia",2010,2583792,26011,67.4,12567,32.6,38578,0.0149307684209874,5.69234697504532e-09,14.9307684209874,0.00569234697504532
"georgia",2011,2489858,22194,65.8,11529,34.2,33723,0.0135441458910508,5.36604979204948e-09,13.5441458910508,0.00536604979204948
"idaho",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"idaho",2008,412640,6783,43.8,8697,56.2,15480,0.0375145405195812,8.75029075445568e-08,37.5145405195812,0.0875029075445568
