County,PopTotal2011,PopTotal2010,PopTotal2009,PopTotal2008,PopTotal2007,PopTotal2006,PopTotal2005,PopTotal2004,PopTotal2003,PopTotal2002,PopTotal2001,PopTotal2000
Adair,22612,22748,21857,21857,21938,21858,21599,21371,21285,21179,21066,21050
Alfalfa,5662,5643,5481,5565,5571,5584,5656,5748,5800,5886,5926,6080
Atoka,14206,14215,14498,14573,14453,14308,14288,14290,14155,13987,13896,13840
Beaver,5624,5650,5270,5242,5325,5313,5403,5452,5519,5564,5641,5792
Beckham,22288,22029,21116,21494,20787,19315,18630,18164,19205,19849,19778,19744
Blaine,9780,9906,12609,12668,12607,12493,12748,12702,11188,11628,12022,11957
Bryan,43089,42572,40783,40463,39474,38956,37658,37367,36872,36768,36462,36597
Caddo,29537,29670,30393,29329,28479,29637,29689,29903,29925,29828,29874,30098
Canadian,119492,116318,109668,106755,103948,100421,97147,94501,92230,90699,89521,88144
Carter,48096,47622,48326,47716,47287,46980,46632,46604,46150,45887,45595,45591
Cherokee,47845,47165,46029,45667,45065,45036,44408,44129,43853,43518,43032,42674
Choctaw,15250,15229,14872,14885,15002,15091,15087,15168,15138,15248,15143,15328
Cimarron,2487,2470,2630,2585,2655,2684,2708,2794,2896,2974,3053,3149
Cleveland,261281,256932,244589,240568,235906,232379,225835,222373,219499,215733,212541,208403
Coal,5928,5911,5856,5672,5654,5613,5690,5836,5890,5931,5998,6004
Comanche,125815,125418,113228,112249,114503,112293,111866,113630,110484,112009,112236,114675
Cotton,6179,6193,6281,6267,6367,6393,6449,6394,6431,6375,6430,6629
Craig,15073,15068,15158,15101,15136,15006,14995,14815,14781,14742,14768,14929
Creek,70467,70141,70244,69514,68835,68216,68059,68138,68320,68346,67903,67566
Custer,27750,27515,26717,26272,25865,25704,25501,25339,25319,25195,25696,26053
Delaware,41633,41548,40555,40463,40511,39873,38980,38797,38504,37935,37643,37195
Dewey,4867,4831,4404,4416,4368,4369,4398,4512,4471,4513,4597,4708
Ellis,4051,4154,3925,3877,3836,3769,3870,3909,3909,3954,3896,4043
Garfield,60670,60745,58928,58053,57434,57145,56940,57169,57149,57115,57181,57690
Garvin,27452,27528,27113,27128,27074,26955,26864,26787,26964,27040,27021,27257
Grady,53020,52508,51649,51099,50428,50051,48942,47929,47080,46620,45844,45570
