"CountyID","CountyName","Abuse","Neglect","SexualAbuse","Count"
1,"Adair",0,0,0,17
1,"Adair",0,0,1,92
1,"Adair",0,1,0,1817
1,"Adair",0,1,1,15
1,"Adair",1,0,0,133
1,"Adair",1,0,1,2
1,"Adair",1,1,0,144
1,"Adair",1,1,1,19
2,"Alfalfa",0,0,0,2
2,"Alfalfa",0,0,1,6
2,"Alfalfa",0,1,0,335
2,"Alfalfa",0,1,1,7
2,"Alfalfa",1,0,0,24
2,"Alfalfa",1,1,0,39
2,"Alfalfa",1,1,1,1
3,"Atoka",0,0,0,6
3,"Atoka",0,0,1,27
3,"Atoka",0,1,0,558
3,"Atoka",0,1,1,22
3,"Atoka",1,0,0,81
3,"Atoka",1,0,1,3
3,"Atoka",1,1,0,66
3,"Atoka",1,1,1,3
4,"Beaver",0,0,0,5
4,"Beaver",0,0,1,3
4,"Beaver",0,1,0,67
4,"Beaver",1,0,0,9
4,"Beaver",1,1,0,14
5,"Beckham",0,0,0,42
5,"Beckham",0,0,1,77
5,"Beckham",0,1,0,1829
5,"Beckham",0,1,1,46
5,"Beckham",1,0,0,175
5,"Beckham",1,0,1,11
5,"Beckham",1,1,0,183
5,"Beckham",1,1,1,3
6,"Blaine",0,0,0,20
6,"Blaine",0,0,1,44
6,"Blaine",0,1,0,1392
6,"Blaine",0,1,1,19
6,"Blaine",1,0,0,186
6,"Blaine",1,0,1,4
6,"Blaine",1,1,0,115
6,"Blaine",1,1,1,1
7,"Bryan",0,0,0,17
7,"Bryan",0,0,1,96
7,"Bryan",0,1,0,2047
7,"Bryan",0,1,1,56
7,"Bryan",1,0,0,172
7,"Bryan",1,0,1,6
7,"Bryan",1,1,0,208
7,"Bryan",1,1,1,9
8,"Caddo",0,0,0,26
8,"Caddo",0,0,1,45
8,"Caddo",0,1,0,1086
8,"Caddo",0,1,1,2
8,"Caddo",1,0,0,142
8,"Caddo",1,0,1,2
8,"Caddo",1,1,0,72
9,"Canadian",0,0,0,46
9,"Canadian",0,0,1,140
9,"Canadian",0,1,0,5719
9,"Canadian",0,1,1,95
9,"Canadian",1,0,0,604
9,"Canadian",1,0,1,10
9,"Canadian",1,1,0,584
9,"Canadian",1,1,1,19
10,"Carter",0,0,0,13
10,"Carter",0,0,1,23
10,"Carter",0,1,0,1598
10,"Carter",0,1,1,17
10,"Carter",1,0,0,98
10,"Carter",1,0,1,1
10,"Carter",1,1,0,122
10,"Carter",1,1,1,3
11,"Cherokee",0,0,0,41
11,"Cherokee",0,0,1,35
11,"Cherokee",0,1,0,1344
11,"Cherokee",0,1,1,15
11,"Cherokee",1,0,0,171
11,"Cherokee",1,1,0,113
11,"Cherokee",1,1,1,4
12,"Choctaw",0,0,0,10
12,"Choctaw",0,0,1,18
12,"Choctaw",0,1,0,668
12,"Choctaw",0,1,1,4
12,"Choctaw",1,0,0,72
12,"Choctaw",1,0,1,1
12,"Choctaw",1,1,0,45
12,"Choctaw",1,1,1,2
13,"Cimarron",0,1,0,6
13,"Cimarron",1,1,0,3
14,"Cleveland",0,0,0,33
14,"Cleveland",0,0,1,200
14,"Cleveland",0,1,0,4866
14,"Cleveland",0,1,1,93
14,"Cleveland",1,0,0,629
14,"Cleveland",1,0,1,16
14,"Cleveland",1,1,0,573
14,"Cleveland",1,1,1,43
15,"Coal",0,0,0,2
15,"Coal",0,0,1,16
15,"Coal",0,1,0,633
15,"Coal",0,1,1,13
15,"Coal",1,0,0,58
15,"Coal",1,0,1,4
15,"Coal",1,1,0,37
15,"Coal",1,1,1,1
16,"Comanche",0,0,0,33
16,"Comanche",0,0,1,83
16,"Comanche",0,1,0,3171
16,"Comanche",0,1,1,69
16,"Comanche",1,0,0,308
16,"Comanche",1,0,1,10
16,"Comanche",1,1,0,232
16,"Comanche",1,1,1,15
17,"Cotton",0,0,1,6
17,"Cotton",0,1,0,174
17,"Cotton",0,1,1,3
17,"Cotton",1,0,0,15
17,"Cotton",1,1,0,29
18,"Craig",0,0,0,7
18,"Craig",0,0,1,32
18,"Craig",0,1,0,632
18,"Craig",0,1,1,16
18,"Craig",1,0,0,50
18,"Craig",1,0,1,1
18,"Craig",1,1,0,45
18,"Craig",1,1,1,2
19,"Creek",0,0,0,57
19,"Creek",0,0,1,75
19,"Creek",0,1,0,1808
19,"Creek",0,1,1,33
19,"Creek",1,0,0,222
19,"Creek",1,0,1,3
19,"Creek",1,1,0,160
19,"Creek",1,1,1,3
20,"Custer",0,0,0,22
20,"Custer",0,0,1,48
20,"Custer",0,1,0,1349
20,"Custer",0,1,1,44
20,"Custer",1,0,0,113
20,"Custer",1,0,1,3
20,"Custer",1,1,0,83
20,"Custer",1,1,1,10
21,"Delaware",0,0,0,26
21,"Delaware",0,0,1,91
21,"Delaware",0,1,0,2039
21,"Delaware",0,1,1,39
21,"Delaware",1,0,0,181
21,"Delaware",1,0,1,4
21,"Delaware",1,1,0,248
21,"Delaware",1,1,1,4
22,"Dewey",0,0,0,1
22,"Dewey",0,0,1,9
22,"Dewey",0,1,0,352
22,"Dewey",0,1,1,1
22,"Dewey",1,0,0,33
22,"Dewey",1,0,1,1
22,"Dewey",1,1,0,45
23,"Ellis",0,0,1,2
23,"Ellis",0,1,0,77
23,"Ellis",0,1,1,11
23,"Ellis",1,0,0,3
23,"Ellis",1,1,0,8
24,"Garfield",0,0,0,129
24,"Garfield",0,0,1,101
24,"Garfield",0,1,0,2494
24,"Garfield",0,1,1,40
24,"Garfield",1,0,0,294
24,"Garfield",1,0,1,5
24,"Garfield",1,1,0,223
24,"Garfield",1,1,1,13
25,"Garvin",0,0,0,7
25,"Garvin",0,0,1,37
25,"Garvin",0,1,0,1082
25,"Garvin",0,1,1,29
25,"Garvin",1,0,0,142
25,"Garvin",1,0,1,7
25,"Garvin",1,1,0,88
25,"Garvin",1,1,1,3
26,"Grady",0,0,0,15
26,"Grady",0,0,1,50
26,"Grady",0,1,0,1533
26,"Grady",0,1,1,26
26,"Grady",1,0,0,139
26,"Grady",1,0,1,1
26,"Grady",1,1,0,158
27,"Grant",0,0,0,9
27,"Grant",0,0,1,7
27,"Grant",0,1,0,156
27,"Grant",0,1,1,2
27,"Grant",1,0,0,31
27,"Grant",1,0,1,1
27,"Grant",1,1,0,13
28,"Greer",0,0,0,8
28,"Greer",0,0,1,20
28,"Greer",0,1,0,859
28,"Greer",0,1,1,12
28,"Greer",1,0,0,83
28,"Greer",1,0,1,2
28,"Greer",1,1,0,67
28,"Greer",1,1,1,2
29,"Harmon",0,0,0,7
29,"Harmon",0,0,1,23
29,"Harmon",0,1,0,237
29,"Harmon",0,1,1,1
29,"Harmon",1,0,0,35
29,"Harmon",1,1,0,19
29,"Harmon",1,1,1,1
30,"Harper",0,0,0,2
30,"Harper",0,0,1,1
30,"Harper",0,1,0,100
30,"Harper",0,1,1,1
30,"Harper",1,0,0,23
30,"Harper",1,1,0,3
31,"Haskell",0,0,0,12
31,"Haskell",0,0,1,5
31,"Haskell",0,1,0,392
31,"Haskell",0,1,1,7
31,"Haskell",1,0,0,39
31,"Haskell",1,1,0,22
31,"Haskell",1,1,1,1
32,"Hughes",0,0,0,48
32,"Hughes",0,0,1,20
32,"Hughes",0,1,0,1086
32,"Hughes",0,1,1,19
32,"Hughes",1,0,0,77
32,"Hughes",1,0,1,2
32,"Hughes",1,1,0,87
32,"Hughes",1,1,1,3
33,"Jackson",0,0,0,21
33,"Jackson",0,0,1,47
33,"Jackson",0,1,0,1604
33,"Jackson",0,1,1,40
33,"Jackson",1,0,0,158
33,"Jackson",1,0,1,9
33,"Jackson",1,1,0,153
33,"Jackson",1,1,1,1
34,"Jefferson",0,0,0,1
34,"Jefferson",0,0,1,3
34,"Jefferson",0,1,0,120
34,"Jefferson",0,1,1,5
34,"Jefferson",1,0,0,12
