"CountyID","CountyName","ReferralYear","Count"
1,"Adair",1988,1
1,"Adair",1989,2
1,"Adair",1990,3
1,"Adair",1991,4
1,"Adair",1992,2
1,"Adair",1993,6
1,"Adair",1994,10
1,"Adair",1995,16
1,"Adair",1996,12
1,"Adair",1997,12
1,"Adair",1998,18
1,"Adair",1999,59
1,"Adair",2000,45
1,"Adair",2001,40
1,"Adair",2002,106
1,"Adair",2003,75
1,"Adair",2004,116
1,"Adair",2005,187
1,"Adair",2006,223
1,"Adair",2007,264
1,"Adair",2008,223
1,"Adair",2009,229
1,"Adair",2010,186
1,"Adair",2011,111
2,"Alfalfa",1995,7
2,"Alfalfa",1997,4
2,"Alfalfa",1999,6
2,"Alfalfa",2000,19
2,"Alfalfa",2001,1
2,"Alfalfa",2003,7
2,"Alfalfa",2004,31
2,"Alfalfa",2005,36
2,"Alfalfa",2006,23
2,"Alfalfa",2007,29
2,"Alfalfa",2008,69
2,"Alfalfa",2009,2
2,"Alfalfa",2010,15
2,"Alfalfa",2011,18
3,"Atoka",1975,1
3,"Atoka",1976,1
3,"Atoka",1992,2
3,"Atoka",1995,6
3,"Atoka",1996,6
3,"Atoka",1997,10
3,"Atoka",1998,2
3,"Atoka",1999,2
3,"Atoka",2000,10
3,"Atoka",2001,7
3,"Atoka",2002,17
3,"Atoka",2003,4
3,"Atoka",2004,8
3,"Atoka",2005,29
3,"Atoka",2006,49
3,"Atoka",2007,122
3,"Atoka",2008,105
3,"Atoka",2009,79
3,"Atoka",2010,72
3,"Atoka",2011,69
4,"Beaver",2004,1
4,"Beaver",2005,1
4,"Beaver",2006,13
4,"Beaver",2007,8
4,"Beaver",2008,7
4,"Beaver",2009,50
4,"Beaver",2010,14
4,"Beaver",2011,4
5,"Beckham",1981,1
5,"Beckham",1982,3
5,"Beckham",1985,4
5,"Beckham",1988,1
5,"Beckham",1990,2
5,"Beckham",1992,13
5,"Beckham",1993,4
5,"Beckham",1994,8
5,"Beckham",1995,22
5,"Beckham",1996,27
5,"Beckham",1997,34
5,"Beckham",1998,55
5,"Beckham",1999,28
5,"Beckham",2000,38
5,"Beckham",2001,71
5,"Beckham",2002,75
5,"Beckham",2003,77
5,"Beckham",2004,134
5,"Beckham",2005,167
5,"Beckham",2006,237
5,"Beckham",2007,294
5,"Beckham",2008,207
5,"Beckham",2009,308
5,"Beckham",2010,199
5,"Beckham",2011,165
6,"Blaine",1984,2
6,"Blaine",1989,1
6,"Blaine",1990,1
6,"Blaine",1993,1
6,"Blaine",1995,13
6,"Blaine",1996,9
6,"Blaine",1997,14
6,"Blaine",1998,16
6,"Blaine",1999,16
6,"Blaine",2000,31
6,"Blaine",2001,45
6,"Blaine",2002,57
6,"Blaine",2003,76
6,"Blaine",2004,33
6,"Blaine",2005,127
6,"Blaine",2006,199
6,"Blaine",2007,240
6,"Blaine",2008,238
6,"Blaine",2009,167
6,"Blaine",2010,157
6,"Blaine",2011,54
7,"Bryan",1989,4
7,"Bryan",1990,4
7,"Bryan",1991,6
7,"Bryan",1992,2
7,"Bryan",1993,3
7,"Bryan",1994,4
7,"Bryan",1995,14
7,"Bryan",1997,7
7,"Bryan",1998,21
7,"Bryan",1999,14
7,"Bryan",2000,27
7,"Bryan",2001,67
7,"Bryan",2002,57
7,"Bryan",2003,40
7,"Bryan",2004,143
7,"Bryan",2005,210
7,"Bryan",2006,280
7,"Bryan",2007,397
7,"Bryan",2008,316
7,"Bryan",2009,399
7,"Bryan",2010,315
7,"Bryan",2011,213
7,"Bryan",2012,2
8,"Caddo",1981,2
8,"Caddo",1982,1
8,"Caddo",1983,1
8,"Caddo",1985,1
8,"Caddo",1987,5
8,"Caddo",1991,1
8,"Caddo",1992,8
8,"Caddo",1993,5
8,"Caddo",1994,5
8,"Caddo",1995,2
8,"Caddo",1996,24
8,"Caddo",1997,8
8,"Caddo",1998,25
8,"Caddo",1999,13
8,"Caddo",2000,14
8,"Caddo",2001,36
8,"Caddo",2002,46
8,"Caddo",2003,50
8,"Caddo",2004,68
8,"Caddo",2005,63
8,"Caddo",2006,197
8,"Caddo",2007,194
8,"Caddo",2008,197
8,"Caddo",2009,179
8,"Caddo",2010,76
8,"Caddo",2011,75
9,"Canadian",1976,2
9,"Canadian",1988,3
9,"Canadian",1989,3
9,"Canadian",1990,3
9,"Canadian",1991,5
9,"Canadian",1992,6
9,"Canadian",1993,13
9,"Canadian",1994,13
9,"Canadian",1995,21
9,"Canadian",1996,29
9,"Canadian",1997,48
9,"Canadian",1998,95
9,"Canadian",1999,95
9,"Canadian",2000,141
9,"Canadian",2001,162
9,"Canadian",2002,217
9,"Canadian",2003,251
9,"Canadian",2004,276
9,"Canadian",2005,430
9,"Canadian",2006,847
9,"Canadian",2007,1048
9,"Canadian",2008,893
9,"Canadian",2009,862
9,"Canadian",2010,648
9,"Canadian",2011,426
10,"Carter",1992,2
10,"Carter",1993,2
10,"Carter",1995,4
10,"Carter",1996,2
10,"Carter",1997,5
10,"Carter",1998,32
10,"Carter",1999,27
10,"Carter",2000,6
10,"Carter",2001,24
10,"Carter",2002,38
10,"Carter",2003,31
10,"Carter",2004,138
10,"Carter",2005,98
10,"Carter",2006,239
10,"Carter",2007,262
10,"Carter",2008,295
10,"Carter",2009,312
10,"Carter",2010,256
10,"Carter",2011,143
11,"Cherokee",1986,3
11,"Cherokee",1990,1
11,"Cherokee",1991,5
11,"Cherokee",1992,2
11,"Cherokee",1993,2
11,"Cherokee",1994,4
11,"Cherokee",1995,3
11,"Cherokee",1996,21
11,"Cherokee",1997,20
11,"Cherokee",1998,30
11,"Cherokee",1999,58
11,"Cherokee",2000,55
11,"Cherokee",2001,54
11,"Cherokee",2002,58
11,"Cherokee",2003,94
11,"Cherokee",2004,47
11,"Cherokee",2005,86
11,"Cherokee",2006,163
11,"Cherokee",2007,263
11,"Cherokee",2008,184
11,"Cherokee",2009,173
11,"Cherokee",2010,161
11,"Cherokee",2011,134
12,"Choctaw",1995,8
12,"Choctaw",1996,1
12,"Choctaw",1997,3
12,"Choctaw",1998,4
12,"Choctaw",2000,5
12,"Choctaw",2001,24
12,"Choctaw",2002,15
12,"Choctaw",2003,19
12,"Choctaw",2004,47
12,"Choctaw",2005,30
12,"Choctaw",2006,55
12,"Choctaw",2007,106
12,"Choctaw",2008,98
12,"Choctaw",2009,146
12,"Choctaw",2010,142
12,"Choctaw",2011,80
13,"Cimarron",2006,5
13,"Cimarron",2007,2
13,"Cimarron",2010,2
14,"Cleveland",1980,1
14,"Cleveland",1982,1
14,"Cleveland",1983,2
14,"Cleveland",1987,2
14,"Cleveland",1988,3
14,"Cleveland",1989,2
14,"Cleveland",1990,4
14,"Cleveland",1991,2
14,"Cleveland",1992,7
14,"Cleveland",1993,6
14,"Cleveland",1994,8
14,"Cleveland",1995,38
14,"Cleveland",1996,21
14,"Cleveland",1997,42
14,"Cleveland",1998,78
14,"Cleveland",1999,116
14,"Cleveland",2000,132
14,"Cleveland",2001,123
14,"Cleveland",2002,203
14,"Cleveland",2003,200
14,"Cleveland",2004,309
14,"Cleveland",2005,641
14,"Cleveland",2006,739
14,"Cleveland",2007,756
14,"Cleveland",2008,649
14,"Cleveland",2009,626
14,"Cleveland",2010,423
14,"Cleveland",2011,329
15,"Coal",1988,2
15,"Coal",1998,9
15,"Coal",1999,8
15,"Coal",2000,8
15,"Coal",2001,7
15,"Coal",2002,35
15,"Coal",2003,27
15,"Coal",2004,13
15,"Coal",2005,55
15,"Coal",2006,61
15,"Coal",2007,114
15,"Coal",2008,77
15,"Coal",2009,139
15,"Coal",2010,92
15,"Coal",2011,95
16,"Comanche",1978,1
16,"Comanche",1993,2
16,"Comanche",1994,6
16,"Comanche",1995,4
16,"Comanche",1996,3
16,"Comanche",1997,31
16,"Comanche",1998,18
16,"Comanche",1999,69
16,"Comanche",2000,66
16,"Comanche",2001,23
16,"Comanche",2002,114
16,"Comanche",2003,125
16,"Comanche",2004,118
16,"Comanche",2005,282
16,"Comanche",2006,409
16,"Comanche",2007,627
16,"Comanche",2008,549
16,"Comanche",2009,558
16,"Comanche",2010,428
16,"Comanche",2011,266
17,"Cotton",1993,4
17,"Cotton",1995,4
17,"Cotton",1999,9
17,"Cotton",2001,5
17,"Cotton",2003,9
17,"Cotton",2004,6
17,"Cotton",2005,35
17,"Cotton",2006,40
17,"Cotton",2007,24
17,"Cotton",2008,17
17,"Cotton",2009,27
17,"Cotton",2010,16
17,"Cotton",2011,20
18,"Craig",1993,1
18,"Craig",1994,3
18,"Craig",1995,5
18,"Craig",1996,11
18,"Craig",1998,4
18,"Craig",1999,10
18,"Craig",2000,15
18,"Craig",2001,3
18,"Craig",2002,17
18,"Craig",2003,23
18,"Craig",2004,30
18,"Craig",2005,31
18,"Craig",2006,77
18,"Craig",2007,75
18,"Craig",2008,81
18,"Craig",2009,129
18,"Craig",2010,70
18,"Craig",2011,33
19,"Creek",1974,3
19,"Creek",1984,4
19,"Creek",1985,3
19,"Creek",1986,2
19,"Creek",1987,6
19,"Creek",1988,13
19,"Creek",1989,2
19,"Creek",1991,1
19,"Creek",1992,4
19,"Creek",1993,22
19,"Creek",1994,21
19,"Creek",1995,27
19,"Creek",1996,3
19,"Creek",1997,11
19,"Creek",1998,39
19,"Creek",1999,43
19,"Creek",2000,68
19,"Creek",2001,106
19,"Creek",2002,58
19,"Creek",2003,95
19,"Creek",2004,60
19,"Creek",2005,167
19,"Creek",2006,263
19,"Creek",2007,204
19,"Creek",2008,291
19,"Creek",2009,308
19,"Creek",2010,238
19,"Creek",2011,196
20,"Custer",1989,1
20,"Custer",1990,1
20,"Custer",1991,4
20,"Custer",1994,1
20,"Custer",1995,10
20,"Custer",1996,6
20,"Custer",1997,8
20,"Custer",1998,29
20,"Custer",1999,44
20,"Custer",2000,63
20,"Custer",2001,40
20,"Custer",2002,68
20,"Custer",2003,52
20,"Custer",2004,79
20,"Custer",2005,140
20,"Custer",2006,212
20,"Custer",2007,281
20,"Custer",2008,191
20,"Custer",2009,203
20,"Custer",2010,185
20,"Custer",2011,138
21,"Delaware",1979,4
21,"Delaware",1992,1
21,"Delaware",1996,2
21,"Delaware",1997,6
21,"Delaware",1998,16
21,"Delaware",1999,53
21,"Delaware",2000,60
21,"Delaware",2001,55
21,"Delaware",2002,46
21,"Delaware",2003,46
21,"Delaware",2004,106
21,"Delaware",2005,176
21,"Delaware",2006,228
21,"Delaware",2007,420
21,"Delaware",2008,447
21,"Delaware",2009,278
21,"Delaware",2010,329
21,"Delaware",2011,185
22,"Dewey",1983,1
22,"Dewey",1988,6
22,"Dewey",1989,1
22,"Dewey",1991,6
22,"Dewey",1992,1
22,"Dewey",1996,6
22,"Dewey",1997,4
22,"Dewey",1998,4
22,"Dewey",1999,5
22,"Dewey",2000,36
22,"Dewey",2001,31
22,"Dewey",2002,38
22,"Dewey",2003,22
22,"Dewey",2004,12
22,"Dewey",2005,11
22,"Dewey",2006,49
22,"Dewey",2007,39
22,"Dewey",2008,44
22,"Dewey",2009,46
22,"Dewey",2010,10
22,"Dewey",2011,25
23,"Ellis",2001,4
23,"Ellis",2002,2
23,"Ellis",2003,2
23,"Ellis",2004,7
23,"Ellis",2005,3
23,"Ellis",2006,14
23,"Ellis",2007,9
23,"Ellis",2008,4
23,"Ellis",2009,42
23,"Ellis",2010,14
24,"Garfield",1990,5
24,"Garfield",1992,14
24,"Garfield",1993,4
24,"Garfield",1994,5
24,"Garfield",1995,17
24,"Garfield",1996,48
24,"Garfield",1997,33
24,"Garfield",1998,34
24,"Garfield",1999,52
24,"Garfield",2000,64
24,"Garfield",2001,134
24,"Garfield",2002,109
24,"Garfield",2003,212
24,"Garfield",2004,219
24,"Garfield",2005,200
24,"Garfield",2006,325
24,"Garfield",2007,351
24,"Garfield",2008,440
24,"Garfield",2009,369
24,"Garfield",2010,330
24,"Garfield",2011,272
25,"Garvin",1982,3
25,"Garvin",1984,1
25,"Garvin",1987,2
25,"Garvin",1989,3
25,"Garvin",1991,1
25,"Garvin",1992,2
25,"Garvin",1993,2
25,"Garvin",1994,2
25,"Garvin",1995,3
25,"Garvin",1996,4
25,"Garvin",1997,27
25,"Garvin",1998,5
25,"Garvin",1999,14
25,"Garvin",2000,37
25,"Garvin",2001,73
25,"Garvin",2002,65
25,"Garvin",2003,93
25,"Garvin",2004,85
25,"Garvin",2005,95
25,"Garvin",2006,74
25,"Garvin",2007,138
25,"Garvin",2008,163
25,"Garvin",2009,187
25,"Garvin",2010,137
25,"Garvin",2011,69
26,"Grady",1982,4
26,"Grady",1988,7
26,"Grady",1989,10
26,"Grady",1990,1
26,"Grady",1991,3
26,"Grady",1992,1
26,"Grady",1993,6
26,"Grady",1994,7
26,"Grady",1995,16
26,"Grady",1996,14
26,"Grady",1997,18
26,"Grady",1998,8
26,"Grady",1999,10
26,"Grady",2000,24
26,"Grady",2001,36
26,"Grady",2002,65
26,"Grady",2003,62
26,"Grady",2004,101
26,"Grady",2005,113
26,"Grady",2006,128
26,"Grady",2007,184
26,"Grady",2008,204
26,"Grady",2009,224
26,"Grady",2010,237
26,"Grady",2011,143
27,"Grant",1995,1
27,"Grant",1996,2
27,"Grant",1997,3
27,"Grant",1998,4
27,"Grant",1999,2
27,"Grant",2000,16
27,"Grant",2001,24
27,"Grant",2002,10
27,"Grant",2003,10
27,"Grant",2004,5
27,"Grant",2006,30
27,"Grant",2007,49
27,"Grant",2008,31
27,"Grant",2009,9
27,"Grant",2010,6
27,"Grant",2011,17
28,"Greer",1996,2
28,"Greer",1997,4
28,"Greer",1998,2
28,"Greer",1999,2
28,"Greer",2000,2
28,"Greer",2001,12
28,"Greer",2002,11
28,"Greer",2003,28
28,"Greer",2004,48
28,"Greer",2005,44
28,"Greer",2006,57
28,"Greer",2007,66
