"CountyName","Year","PopTotal"
"Adair","2011",22612
"Alfalfa","2011",5662
"Atoka","2011",14206
"Beaver","2011",5624
"Beckham","2011",22288
"Blaine","2011",9780
"Bryan","2011",43089
"Caddo","2011",29537
"Canadian","2011",119492
"Carter","2011",48096
"Cherokee","2011",47845
"Choctaw","2011",15250
"Cimarron","2011",2487
"Cleveland","2011",261281
"Coal","2011",5928
"Comanche","2011",125815
"Cotton","2011",6179
"Craig","2011",15073
"Creek","2011",70467
"Custer","2011",27750
"Delaware","2011",41633
"Dewey","2011",4867
"Ellis","2011",4051
"Garfield","2011",60670
"Garvin","2011",27452
"Grady","2011",53020
"Grant","2011",4585
"Greer","2011",6125
"Harmon","2011",2919
"Harper","2011",3695
"Haskell","2011",12810
"Hughes","2011",13843
"Jackson","2011",26447
"Jefferson","2011",6506
"Johnston","2011",11139
"Kay","2011",46159
"Kingfisher","2011",15213
"Kiowa","2011",9416
"Latimer","2011",11155
"Le Flore","2011",50628
"Lincoln","2011",34155
"Logan","2011",42499
"Love","2011",9386
"McClain","2011",35235
"McCurtain","2011",33195
"McIntosh","2011",20360
"Major","2011",7657
"Marshall","2011",16049
"Mayes","2011",41389
"Murray","2011",13571
"Muskogee","2011",71003
"Noble","2011",11578
"Nowata","2011",10629
"Okfuskee","2011",12348
"Oklahoma","2011",732371
"Okmulgee","2011",39937
"Osage","2011",47425
"Ottawa","2011",31860
"Pawnee","2011",16730
"Payne","2011",77988
"Pittsburg","2011",45625
"Pontotoc","2011",37799
"Pottawatomie","2011",70280
"Pushmataha","2011",11478
"Roger Mills","2011",3702
"Rogers","2011",87706
"Seminole","2011",25292
"Sequoyah","2011",42341
"Stephens","2011",45197
"Texas","2011",21312
"Tillman","2011",8061
"Tulsa","2011",610599
"Wagoner","2011",74098
"Washington","2011",51476
"Washita","2011",11574
"Woods","2011",8775
"Woodward","2011",20034
"Adair","2010",22748
"Alfalfa","2010",5643
"Atoka","2010",14215
"Beaver","2010",5650
"Beckham","2010",22029
"Blaine","2010",9906
"Bryan","2010",42572
"Caddo","2010",29670
"Canadian","2010",116318
"Carter","2010",47622
"Cherokee","2010",47165
"Choctaw","2010",15229
"Cimarron","2010",2470
"Cleveland","2010",256932
"Coal","2010",5911
"Comanche","2010",125418
"Cotton","2010",6193
"Craig","2010",15068
"Creek","2010",70141
"Custer","2010",27515
"Delaware","2010",41548
"Dewey","2010",4831
"Ellis","2010",4154
"Garfield","2010",60745
"Garvin","2010",27528
"Grady","2010",52508
"Grant","2010",4544
"Greer","2010",6212
"Harmon","2010",2928
"Harper","2010",3688
"Haskell","2010",12771
"Hughes","2010",14027
"Jackson","2010",26481
"Jefferson","2010",6452
"Johnston","2010",11005
"Kay","2010",46447
"Kingfisher","2010",15073
"Kiowa","2010",9427
"Latimer","2010",11150
"Le Flore","2010",50520
"Lincoln","2010",34293
"Logan","2010",42029
"Love","2010",9446
"McClain","2010",34733
"McCurtain","2010",33167
"McIntosh","2010",20288
"Major","2010",7516
"Marshall","2010",15876
"Mayes","2010",41280
"Murray","2010",13510
"Muskogee","2010",71116
"Noble","2010",11555
"Nowata","2010",10518
"Okfuskee","2010",12228
"Oklahoma","2010",721298
"Okmulgee","2010",40144
"Osage","2010",47412
"Ottawa","2010",31851
"Pawnee","2010",16576
"Payne","2010",77444
"Pittsburg","2010",45788
"Pontotoc","2010",37586
"Pottawatomie","2010",69646
"Pushmataha","2010",11579
"Roger Mills","2010",3643
"Rogers","2010",87042
"Seminole","2010",25451
"Sequoyah","2010",42435
"Stephens","2010",45093
"Texas","2010",20855
"Tillman","2010",7999
"Tulsa","2010",605413
"Wagoner","2010",73395
"Washington","2010",51048
"Washita","2010",11618
"Woods","2010",8895
"Woodward","2010",19964
"Adair","2009",21857
"Alfalfa","2009",5481
"Atoka","2009",14498
"Beaver","2009",5270
"Beckham","2009",21116
"Blaine","2009",12609
"Bryan","2009",40783
"Caddo","2009",30393
"Canadian","2009",109668
"Carter","2009",48326
"Cherokee","2009",46029
"Choctaw","2009",14872
"Cimarron","2009",2630
"Cleveland","2009",244589
"Coal","2009",5856
"Comanche","2009",113228
"Cotton","2009",6281
"Craig","2009",15158
"Creek","2009",70244
"Custer","2009",26717
"Delaware","2009",40555
"Dewey","2009",4404
"Ellis","2009",3925
"Garfield","2009",58928
"Garvin","2009",27113
"Grady","2009",51649
"Grant","2009",4317
"Greer","2009",5830
"Harmon","2009",2843
"Harper","2009",3377
"Haskell","2009",12393
"Hughes","2009",13819
"Jackson","2009",25369
"Jefferson","2009",6319
"Johnston","2009",10468
"Kay","2009",46110
"Kingfisher","2009",14384
"Kiowa","2009",9101
"Latimer","2009",10621
"Le Flore","2009",49915
"Lincoln","2009",32199
"Logan","2009",39301
"Love","2009",9124
"McClain","2009",33168
"McCurtain","2009",33370
"McIntosh","2009",19801
"Major","2009",7189
"Marshall","2009",15014
"Mayes","2009",40065
"Murray","2009",12960
"Muskogee","2009",71412
"Noble","2009",10950
"Nowata","2009",10528
"Okfuskee","2009",10924
"Oklahoma","2009",716704
"Okmulgee","2009",39292
"Osage","2009",45051
"Ottawa","2009",31629
"Pawnee","2009",16419
"Payne","2009",79727
"Pittsburg","2009",45211
"Pontotoc","2009",37422
"Pottawatomie","2009",70274
"Pushmataha","2009",11812
"Roger Mills","2009",3407
"Rogers","2009",85654
"Seminole","2009",24296
"Sequoyah","2009",41433
"Stephens","2009",43487
"Texas","2009",21135
"Tillman","2009",7796
"Tulsa","2009",601961
"Wagoner","2009",70394
"Washington","2009",50706
"Washita","2009",11813
"Woods","2009",8418
"Woodward","2009",19959
"Adair","2008",21857
"Alfalfa","2008",5565
"Atoka","2008",14573
"Beaver","2008",5242
"Beckham","2008",21494
"Blaine","2008",12668
"Bryan","2008",40463
"Caddo","2008",29329
"Canadian","2008",106755
"Carter","2008",47716
"Cherokee","2008",45667
"Choctaw","2008",14885
"Cimarron","2008",2585
"Cleveland","2008",240568
"Coal","2008",5672
"Comanche","2008",112249
"Cotton","2008",6267
"Craig","2008",15101
"Creek","2008",69514
"Custer","2008",26272
"Delaware","2008",40463
"Dewey","2008",4416
"Ellis","2008",3877
"Garfield","2008",58053
"Garvin","2008",27128
"Grady","2008",51099
"Grant","2008",4448
"Greer","2008",5820
"Harmon","2008",2834
"Harper","2008",3385
"Haskell","2008",12266
"Hughes","2008",13630
"Jackson","2008",25336
"Jefferson","2008",6231
"Johnston","2008",10428
"Kay","2008",45886
"Kingfisher","2008",14264
"Kiowa","2008",9246
"Latimer","2008",10576
"Le Flore","2008",49806
"Lincoln","2008",32070
"Logan","2008",38424
"Love","2008",9097
"McClain","2008",32487
"McCurtain","2008",33489
"McIntosh","2008",19629
"Major","2008",7132
"Marshall","2008",14958
"Mayes","2008",40084
"Murray","2008",12787
"Muskogee","2008",70750
"Noble","2008",11000
"Nowata","2008",10725
"Okfuskee","2008",11107
"Oklahoma","2008",706116
"Okmulgee","2008",39100
"Osage","2008",45203
"Ottawa","2008",31644
"Pawnee","2008",16310
"Payne","2008",78733
"Pittsburg","2008",44776
"Pontotoc","2008",36948
"Pottawatomie","2008",69464
"Pushmataha","2008",11672
"Roger Mills","2008",3370
"Rogers","2008",84464
"Seminole","2008",24110
"Sequoyah","2008",41089
"Stephens","2008",43351
"Texas","2008",20573
"Tillman","2008",7928
"Tulsa","2008",592406
"Wagoner","2008",69040
"Washington","2008",50556
"Washita","2008",11691
"Woods","2008",8379
"Woodward","2008",19729
"Adair","2007",21938
"Alfalfa","2007",5571
"Atoka","2007",14453
"Beaver","2007",5325
"Beckham","2007",20787
"Blaine","2007",12607
"Bryan","2007",39474
"Caddo","2007",28479
"Canadian","2007",103948
"Carter","2007",47287
"Cherokee","2007",45065
"Choctaw","2007",15002
"Cimarron","2007",2655
"Cleveland","2007",235906
"Coal","2007",5654
"Comanche","2007",114503
"Cotton","2007",6367
"Craig","2007",15136
"Creek","2007",68835
"Custer","2007",25865
"Delaware","2007",40511
"Dewey","2007",4368
"Ellis","2007",3836
"Garfield","2007",57434
"Garvin","2007",27074
"Grady","2007",50428
"Grant","2007",4482
"Greer","2007",5803
"Harmon","2007",2833
"Harper","2007",3302
"Haskell","2007",12102
"Hughes","2007",13651
"Jackson","2007",25739
"Jefferson","2007",6228
"Johnston","2007",10458
"Kay","2007",45955
"Kingfisher","2007",14279
"Kiowa","2007",9300
"Latimer","2007",10442
"Le Flore","2007",49625
"Lincoln","2007",32217
"Logan","2007",37330
"Love","2007",9062
"McClain","2007",31892
"McCurtain","2007",33472
"McIntosh","2007",19659
"Major","2007",7184
"Marshall","2007",14871
"Mayes","2007",39769
"Murray","2007",12646
"Muskogee","2007",70686
"Noble","2007",10964
"Nowata","2007",10708
"Okfuskee","2007",11186
"Oklahoma","2007",699523
"Okmulgee","2007",39269
"Osage","2007",45269
"Ottawa","2007",32234
"Pawnee","2007",16490
"Payne","2007",78326
"Pittsburg","2007",44423
"Pontotoc","2007",36411
"Pottawatomie","2007",69170
"Pushmataha","2007",11624
"Roger Mills","2007",3273
"Rogers","2007",83188
"Seminole","2007",24025
"Sequoyah","2007",40975
"Stephens","2007",43148
"Texas","2007",20151
"Tillman","2007",8108
"Tulsa","2007",585407
"Wagoner","2007",67220
"Washington","2007",49903
"Washita","2007",11630
"Woods","2007",8471
"Woodward","2007",19595
"Adair","2006",21858
"Alfalfa","2006",5584
"Atoka","2006",14308
"Beaver","2006",5313
"Beckham","2006",19315
"Blaine","2006",12493
"Bryan","2006",38956
"Caddo","2006",29637
"Canadian","2006",100421
"Carter","2006",46980
"Cherokee","2006",45036
"Choctaw","2006",15091
"Cimarron","2006",2684
"Cleveland","2006",232379
"Coal","2006",5613
"Comanche","2006",112293
"Cotton","2006",6393
"Craig","2006",15006
"Creek","2006",68216
"Custer","2006",25704
"Delaware","2006",39873
"Dewey","2006",4369
"Ellis","2006",3769
"Garfield","2006",57145
"Garvin","2006",26955
"Grady","2006",50051
"Grant","2006",4513
"Greer","2006",5739
"Harmon","2006",2916
"Harper","2006",3333
"Haskell","2006",12058
"Hughes","2006",13605
"Jackson","2006",26241
"Jefferson","2006",6289
"Johnston","2006",10421
"Kay","2006",45760
"Kingfisher","2006",14092
"Kiowa","2006",9540
"Latimer","2006",10487
"Le Flore","2006",49200
"Lincoln","2006",32203
"Logan","2006",35756
"Love","2006",9048
"McClain","2006",30920
"McCurtain","2006",33467
"McIntosh","2006",19476
"Major","2006",7200
"Marshall","2006",14594
"Mayes","2006",39361
"Murray","2006",12685
"Muskogee","2006",70431
"Noble","2006",11030
"Nowata","2006",10650
"Okfuskee","2006",11191
"Oklahoma","2006",693007
"Okmulgee","2006",39156
"Osage","2006",44933
"Ottawa","2006",32757
"Pawnee","2006",16512
"Payne","2006",79741
"Pittsburg","2006",44249
"Pontotoc","2006",35721
"Pottawatomie","2006",68162
"Pushmataha","2006",11517
"Roger Mills","2006",3241
"Rogers","2006",81476
"Seminole","2006",24109
"Sequoyah","2006",40728
"Stephens","2006",42751
"Texas","2006",20096
"Tillman","2006",8259
"Tulsa","2006",577271
"Wagoner","2006",65071
"Washington","2006",49058
"Washita","2006",11465
"Woods","2006",8390
"Woodward","2006",19016
"Adair","2005",21599
"Alfalfa","2005",5656
"Atoka","2005",14288
"Beaver","2005",5403
"Beckham","2005",18630
"Blaine","2005",12748
"Bryan","2005",37658
"Caddo","2005",29689
"Canadian","2005",97147
"Carter","2005",46632
"Cherokee","2005",44408
"Choctaw","2005",15087
"Cimarron","2005",2708
"Cleveland","2005",225835
"Coal","2005",5690
"Comanche","2005",111866
"Cotton","2005",6449
"Craig","2005",14995
"Creek","2005",68059
"Custer","2005",25501
"Delaware","2005",38980
"Dewey","2005",4398
"Ellis","2005",3870
"Garfield","2005",56940
"Garvin","2005",26864
"Grady","2005",48942
"Grant","2005",4656
"Greer","2005",5799
"Harmon","2005",2955
"Harper","2005",3301
"Haskell","2005",11952
"Hughes","2005",13717
"Jackson","2005",26471
"Jefferson","2005",6375
"Johnston","2005",10203
"Kay","2005",46079
"Kingfisher","2005",14076
"Kiowa","2005",9771
"Latimer","2005",10485
"Le Flore","2005",48852
"Lincoln","2005",31987
"Logan","2005",35399
"Love","2005",9028
"McClain","2005",29912
"McCurtain","2005",33458
"McIntosh","2005",19388
"Major","2005",7171
"Marshall","2005",14365
"Mayes","2005",39049
"Murray","2005",12566
"Muskogee","2005",70210
"Noble","2005",11112
"Nowata","2005",10621
"Okfuskee","2005",11263
"Oklahoma","2005",685871
"Okmulgee","2005",39332
"Osage","2005",44952
"Ottawa","2005",32475
"Pawnee","2005",16470
"Payne","2005",76144
"Pittsburg","2005",43910
"Pontotoc","2005",35439
"Pottawatomie","2005",67707
"Pushmataha","2005",11467
"Roger Mills","2005",3261
"Rogers","2005",79669
"Seminole","2005",24119
"Sequoyah","2005",40204
"Stephens","2005",42544
"Texas","2005",20021
"Tillman","2005",8358
"Tulsa","2005",570051
"Wagoner","2005",63119
"Washington","2005",48740
"Washita","2005",11264
"Woods","2005",8540
"Woodward","2005",18849
"Adair","2004",21371
"Alfalfa","2004",5748
"Atoka","2004",14290
"Beaver","2004",5452
"Beckham","2004",18164
"Blaine","2004",12702
"Bryan","2004",37367
"Caddo","2004",29903
"Canadian","2004",94501
"Carter","2004",46604
"Cherokee","2004",44129
"Choctaw","2004",15168
"Cimarron","2004",2794
"Cleveland","2004",222373
"Coal","2004",5836
"Comanche","2004",113630
"Cotton","2004",6394
"Craig","2004",14815
"Creek","2004",68138
"Custer","2004",25339
"Delaware","2004",38797
"Dewey","2004",4512
"Ellis","2004",3909
"Garfield","2004",57169
"Garvin","2004",26787
"Grady","2004",47929
"Grant","2004",4696
"Greer","2004",5807
"Harmon","2004",2939
"Harper","2004",3341
"Haskell","2004",11955
"Hughes","2004",13762
"Jackson","2004",27181
"Jefferson","2004",6417
"Johnston","2004",10243
"Kay","2004",46590
"Kingfisher","2004",13974
"Kiowa","2004",9743
"Latimer","2004",10515
"Le Flore","2004",48618
"Lincoln","2004",32062
"Logan","2004",34968
"Love","2004",8943
"McClain","2004",29033
"McCurtain","2004",33475
"McIntosh","2004",19440
"Major","2004",7256
"Marshall","2004",13901
"Mayes","2004",38843
"Murray","2004",12500
"Muskogee","2004",69903
"Noble","2004",11179
"Nowata","2004",10595
"Okfuskee","2004",11436
"Oklahoma","2004",679913
"Okmulgee","2004",39548
"Osage","2004",44773
"Ottawa","2004",32388
"Pawnee","2004",16472
"Payne","2004",76044
"Pittsburg","2004",43639
"Pontotoc","2004",35234
"Pottawatomie","2004",67405
"Pushmataha","2004",11559
"Roger Mills","2004",3212
"Rogers","2004",78565
"Seminole","2004",24180
"Sequoyah","2004",40064
"Stephens","2004",42446
"Texas","2004",20198
"Tillman","2004",8587
"Tulsa","2004",567695
"Wagoner","2004",61981
"Washington","2004",48890
"Washita","2004",11234
"Woods","2004",8566
"Woodward","2004",18720
"Adair","2003",21285
"Alfalfa","2003",5800
"Atoka","2003",14155
"Beaver","2003",5519
"Beckham","2003",19205
"Blaine","2003",11188
"Bryan","2003",36872
"Caddo","2003",29925
"Canadian","2003",92230
"Carter","2003",46150
"Cherokee","2003",43853
"Choctaw","2003",15138
"Cimarron","2003",2896
"Cleveland","2003",219499
"Coal","2003",5890
"Comanche","2003",110484
"Cotton","2003",6431
"Craig","2003",14781
"Creek","2003",68320
"Custer","2003",25319
"Delaware","2003",38504
"Dewey","2003",4471
"Ellis","2003",3909
"Garfield","2003",57149
"Garvin","2003",26964
"Grady","2003",47080
"Grant","2003",4865
"Greer","2003",5781
"Harmon","2003",2986
"Harper","2003",3321
