CountyName,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19,Pop20To24,Pop25To29
Adair,22683,1640,1795,1841,1752,1258,1372
Alfalfa,5642,283,255,284,276,219,268
Atoka,14182,928,888,940,953,822,916
Beaver,5636,384,432,394,391,248,312
Beckham,22119,1694,1502,1358,1356,1588,1846
Blaine,11943,792,646,712,675,841,1039
Bryan,42416,2830,2716,2710,3117,3494,2814
Caddo,29600,2055,2078,2039,2072,1751,2013
Canadian,115541,8536,8744,8764,7780,6262,8115
Carter,47557,3377,3380,3434,3190,2522,3015
Cherokee,46987,3133,2985,3196,4066,4468,3171
Choctaw,15205,1060,1031,1023,935,822,812
Cimarron,2475,192,165,170,147,102,120
Cleveland,255755,16812,16919,16101,19436,26685,21474
Coal,5925,391,408,448,420,270,309
Comanche,124098,9426,8651,8094,9663,12163,11483
Cotton,6193,405,402,430,458,290,332
Craig,15029,861,934,995,998,818,807
Creek,69967,4385,4821,5109,4913,3675,3925
Custer,27469,1926,1809,1630,2356,3482,2071
Delaware,41487,2365,2570,2662,2657,1941,1999
Dewey,4810,300,354,349,309,171,262
Ellis,4151,264,316,273,252,138,210
Garfield,60580,4590,4229,3865,3777,3942,4485
Garvin,27576,1853,1869,1902,1767,1471,1691
Grady,52431,3565,3645,3761,3648,3085,3248
Grant,4527,262,280,277,309,182,198
Greer,6239,320,368,338,328,405,522
Harmon,2922,238,212,173,210,143,166
Harper,3685,296,235,242,245,151,251
Haskell,12769,900,883,908,859,694,727
Hughes,14003,796,866,889,918,746,916
Jackson,26446,2009,1940,1789,1969,2039,1876
Jefferson,6472,446,422,436,417,327,319
Johnston,10957,788,694,733,818,687,606
Kay,46562,3348,3121,3298,3357,2599,2722
Kingfisher,15034,1121,1072,1107,1074,754,862
Kiowa,9446,546,617,645,623,473,519
Latimer,11154,672,707,797,927,681,625
Le Flore,50384,3438,3516,3387,3572,3038,3083
Lincoln,34273,2256,2373,2496,2466,1726,1803
Logan,41848,2783,2970,2914,3605,2718,2438
Love,9423,616,654,644,580,485,568
McClain,34506,2418,2625,2614,2351,1603,1998
McCurtain,33151,2302,2343,2460,2399,1821,1840
McIntosh,20252,1069,1138,1253,1217,877,1000
Major,7527,491,471,491,460,364,401
Marshall,15840,1056,982,1087,989,761,807
Mayes,41259,2877,2777,2971,2983,2153,2375
Murray,13488,922,886,912,826,666,804
Muskogee,70990,4874,4894,4878,4957,4500,4708
Noble,11561,816,789,814,705,533,674
Nowata,10536,625,710,731,737,512,552
Okfuskee,12191,766,709,842,814,644,721
Oklahoma,718633,55245,50978,47198,47674,55295,59045
Okmulgee,40069,2642,2798,2720,3059,2528,2376
Osage,47472,2904,3254,3344,3219,2297,2602
Ottawa,31848,2249,2046,2247,2484,1953,1794
Pawnee,16577,1055,1121,1175,1152,803,855
Payne,77350,4488,4171,3754,7658,15022,6767
Pittsburg,45837,2883,2747,2744,2824,2603,3000
Pontotoc,37492,2588,2449,2311,2841,3482,2593
Pottawatomie,69442,4782,4772,4885,5183,4837,4339
Pushmataha,11572,721,698,718,762,559,580
Roger Mills,3647,256,277,243,217,162,234
Rogers,86905,5488,6157,6923,6587,4981,4921
Seminole,25482,1690,1831,1926,1880,1410,1450
Sequoyah,42391,2809,3023,3122,3085,2266,2323
Stephens,45048,2962,3073,3029,2852,2346,2697
Texas,20640,1811,1661,1580,1607,1771,1503
Tillman,7992,495,529,594,572,403,480
Tulsa,603403,44711,43321,41237,41675,42152,45474
Wagoner,73085,5135,5614,5521,5011,3616,4549
Washington,50976,3311,3329,3230,3409,2876,3040
Washita,11629,804,884,833,747,591,731
Woods,8878,533,446,432,702,1218,638
Woodward,20081,1466,1359,1288,1205,1261,1556
